NO_OF_FRAMES	430
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 16:04:28.387	684003.23641750
DATA_INCLUDED	3D
TITLE	Luftmostståndspåverkan av rörelsemängd 23.3 g #6
MARKER_NAMES	h23_3g
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
707	1.41200	337.214	571.616	195.167
708	1.41400	337.100	569.515	195.176
709	1.41600	336.945	567.423	195.150
710	1.41800	336.797	565.330	195.153
711	1.42000	336.656	563.238	195.137
712	1.42200	336.522	561.137	195.113
713	1.42400	336.408	559.042	195.158
714	1.42600	336.309	556.955	195.194
715	1.42800	336.210	554.877	195.197
716	1.43000	336.117	552.782	195.204
717	1.43200	336.032	550.702	195.241
718	1.43400	335.940	548.631	195.245
719	1.43600	335.854	546.536	195.241
720	1.43800	335.748	544.449	195.227
721	1.44000	335.651	542.404	195.208
722	1.44200	335.525	540.326	195.167
723	1.44400	335.426	538.255	195.169
724	1.44600	335.321	536.184	195.174
725	1.44800	335.214	534.096	195.183
726	1.45000	335.046	532.002	195.180
727	1.45200	334.898	529.915	195.145
728	1.45400	334.778	527.827	195.141
729	1.45600	334.665	525.747	195.128
730	1.45800	334.552	523.643	195.108
731	1.46000	334.446	521.555	195.093
732	1.46200	334.334	519.483	195.081
733	1.46400	334.235	517.394	195.101
734	1.46600	334.121	515.306	195.124
735	1.46800	333.995	513.234	195.152
736	1.47000	333.867	511.129	195.184
737	1.47200	333.733	509.041	195.196
738	1.47400	333.627	506.952	195.212
739	1.47600	333.509	504.888	195.192
740	1.47800	333.313	502.775	195.147
741	1.48000	333.180	500.687	195.097
742	1.48200	333.074	498.597	195.105
743	1.48400	332.975	496.516	195.129
744	1.48600	332.869	494.418	195.134
745	1.48800	332.764	492.345	195.154
746	1.49000	332.665	490.255	195.154
747	1.49200	332.560	488.191	195.146
748	1.49400	332.420	486.118	195.104
749	1.49600	332.286	484.038	195.081
750	1.49800	332.160	481.974	195.061
751	1.50000	332.026	479.902	195.058
752	1.50200	331.810	477.806	195.069
753	1.50400	331.621	475.718	195.073
754	1.50600	331.473	473.614	195.135
755	1.50800	331.347	471.533	195.135
756	1.51000	331.235	469.451	195.140
757	1.51200	331.137	467.369	195.149
758	1.51400	331.038	465.279	195.151
759	1.51600	330.933	463.197	195.119
760	1.51800	330.842	461.123	195.103
761	1.52000	330.736	459.042	195.106
762	1.52200	330.638	456.960	195.113
763	1.52400	330.533	454.887	195.135
764	1.52600	330.434	452.805	195.151
765	1.52800	330.343	450.724	195.171
766	1.53000	330.190	448.635	195.155
767	1.53200	330.058	446.545	195.117
768	1.53400	329.918	444.447	195.099
769	1.53600	329.820	442.357	195.098
770	1.53800	329.701	440.267	195.076
771	1.54000	329.590	438.177	195.059
772	1.54200	329.492	436.104	195.070
773	1.54400	329.393	434.023	195.075
774	1.54600	329.274	431.943	195.109
775	1.54800	329.162	429.863	195.123
776	1.55000	329.055	427.766	195.142
777	1.55200	328.920	425.662	195.181
778	1.55400	328.823	423.589	195.168
779	1.55600	328.711	421.516	195.159
780	1.55800	328.519	419.435	195.087
781	1.56000	328.393	417.338	195.051
782	1.56200	328.260	415.258	195.068
783	1.56400	328.155	413.169	195.053
784	1.56600	328.017	411.089	195.053
785	1.56800	327.905	409.009	195.059
786	1.57000	327.787	406.946	195.066
787	1.57200	327.689	404.857	195.044
788	1.57400	327.570	402.801	195.022
789	1.57600	327.465	400.713	195.008
790	1.57800	327.360	398.625	195.024
791	1.58000	327.269	396.545	195.005
792	1.58200	327.090	394.459	195.026
793	1.58400	326.952	392.379	195.013
794	1.58600	326.841	390.284	195.033
795	1.58800	326.715	388.205	195.032
796	1.59000	326.583	386.127	195.034
797	1.59200	326.458	384.040	195.029
798	1.59400	326.311	381.955	195.054
799	1.59600	326.163	379.870	195.059
800	1.59800	326.072	377.792	195.079
801	1.60000	325.982	375.723	195.116
802	1.60200	325.892	373.653	195.130
803	1.60400	325.800	371.550	195.129
804	1.60600	325.643	369.473	195.138
805	1.60800	325.500	367.404	195.137
806	1.61000	325.382	365.326	195.132
807	1.61200	325.286	363.248	195.105
808	1.61400	325.160	361.170	195.083
809	1.61600	325.035	359.101	195.051
810	1.61800	324.910	357.025	195.064
811	1.62000	324.771	354.974	195.063
812	1.62200	324.653	352.890	195.072
813	1.62400	324.534	350.798	195.075
814	1.62600	324.387	348.714	195.068
815	1.62800	324.289	346.639	195.077
816	1.63000	324.158	344.572	195.074
817	1.63200	323.986	342.463	195.042
818	1.63400	323.847	340.372	195.040
819	1.63600	323.714	338.282	195.044
820	1.63800	323.617	336.208	195.074
821	1.64000	323.512	334.110	195.100
822	1.64200	323.401	332.037	195.113
823	1.64400	323.297	329.946	195.107
824	1.64600	323.208	327.871	195.102
825	1.64800	323.112	325.797	195.102
826	1.65000	322.988	323.721	195.055
827	1.65200	322.891	321.621	195.029
828	1.65400	322.802	319.547	195.016
829	1.65600	322.720	317.482	195.019
830	1.65800	322.537	315.385	195.003
831	1.66000	322.421	313.287	194.994
832	1.66200	322.325	311.206	194.987
833	1.66400	322.229	309.134	194.995
834	1.66600	322.112	307.055	194.997
835	1.66800	322.008	304.958	194.981
836	1.67000	321.927	302.893	194.962
837	1.67200	321.802	300.839	194.958
838	1.67400	321.700	298.744	194.954
839	1.67600	321.586	296.672	194.936
840	1.67800	321.468	294.612	194.960
841	1.68000	321.300	292.537	194.988
842	1.68200	321.140	290.411	194.983
843	1.68400	321.037	288.333	194.972
844	1.68600	320.918	286.249	194.981
845	1.68800	320.799	284.158	195.009
846	1.69000	320.681	282.048	194.993
847	1.69200	320.584	279.989	194.996
848	1.69400	320.473	277.928	194.977
849	1.69600	320.334	275.853	194.966
850	1.69800	320.225	273.804	194.992
851	1.70000	320.093	271.741	195.026
852	1.70200	319.977	269.667	195.027
853	1.70400	319.765	267.574	194.978
854	1.70600	319.628	265.509	194.973
855	1.70800	319.512	263.432	194.935
856	1.71000	319.402	261.342	194.931
857	1.71200	319.291	259.277	194.914
858	1.71400	319.188	257.188	194.920
859	1.71600	319.086	255.116	194.925
860	1.71800	318.975	253.045	194.935
861	1.72000	318.858	250.968	194.964
862	1.72200	318.749	248.889	194.971
863	1.72400	318.520	246.813	194.978
864	1.72600	318.364	244.709	194.959
865	1.72800	318.241	242.605	194.947
866	1.73000	318.124	240.534	194.930
867	1.73200	317.996	238.417	194.932
868	1.73400	317.924	236.355	194.934
869	1.73600	317.821	234.286	194.931
870	1.73800	317.740	232.185	194.940
871	1.74000	317.659	230.132	194.940
872	1.74200	317.558	228.049	194.953
873	1.74400	317.464	225.964	194.944
874	1.74600	317.313	223.896	194.931
875	1.74800	317.167	221.783	194.869
876	1.75000	317.040	219.714	194.841
877	1.75200	316.926	217.614	194.827
878	1.75400	316.838	215.531	194.813
879	1.75600	316.728	213.467	194.826
880	1.75800	316.632	211.370	194.826
881	1.76000	316.535	209.292	194.852
882	1.76200	316.441	207.234	194.835
883	1.76400	316.331	205.153	194.817
884	1.76600	316.226	203.087	194.796
885	1.76800	316.037	200.999	194.772
886	1.77000	315.925	198.919	194.764
887	1.77200	315.768	196.842	194.761
888	1.77400	315.653	194.749	194.769
889	1.77600	315.551	192.690	194.797
890	1.77800	315.420	190.575	194.808
891	1.78000	315.316	188.513	194.862
892	1.78200	315.139	186.440	194.858
893	1.78400	315.075	184.359	194.897
894	1.78600	314.956	182.285	194.901
895	1.78800	314.855	180.206	194.854
896	1.79000	314.716	178.129	194.835
897	1.79200	314.561	176.037	194.800
898	1.79400	314.454	173.974	194.828
899	1.79600	314.333	171.883	194.803
900	1.79800	314.225	169.816	194.787
901	1.80000	314.125	167.735	194.781
902	1.80200	314.003	165.656	194.779
903	1.80400	313.923	163.583	194.766
904	1.80600	313.808	161.509	194.731
905	1.80800	313.728	159.450	194.694
906	1.81000	313.628	157.349	194.705
907	1.81200	313.446	155.281	194.704
908	1.81400	313.283	153.189	194.706
909	1.81600	313.179	151.122	194.716
910	1.81800	313.042	149.016	194.734
911	1.82000	312.916	146.958	194.736
912	1.82200	312.800	144.857	194.718
913	1.82400	312.664	142.783	194.712
914	1.82600	312.562	140.705	194.681
915	1.82800	312.441	138.627	194.699
916	1.83000	312.277	136.513	194.747
917	1.83200	312.116	134.429	194.716
918	1.83400	311.981	132.350	194.716
919	1.83600	311.916	130.248	194.745
920	1.83800	311.781	128.174	194.713
921	1.84000	311.695	126.097	194.727
922	1.84200	311.595	124.026	194.659
923	1.84400	311.504	121.942	194.672
924	1.84600	311.381	119.865	194.603
925	1.84800	311.324	117.772	194.615
926	1.85000	311.231	115.703	194.608
927	1.85200	311.062	113.617	194.580
928	1.85400	310.928	111.541	194.569
929	1.85600	310.809	109.451	194.570
930	1.85800	310.735	107.378	194.525
931	1.86000	310.615	105.300	194.545
932	1.86200	310.550	103.223	194.524
933	1.86400	310.409	101.150	194.509
934	1.86600	310.317	99.073	194.470
935	1.86800	310.213	97.007	194.447
936	1.87000	310.085	94.914	194.513
937	1.87200	309.933	92.851	194.494
938	1.87400	309.769	90.762	194.522
939	1.87600	309.646	88.674	194.555
940	1.87800	309.513	86.604	194.585
941	1.88000	309.329	84.499	194.697
942	1.88200	309.225	82.422	194.682
943	1.88400	309.111	80.352	194.654
944	1.88600	309.007	78.277	194.647
945	1.88800	308.906	76.225	194.575
946	1.89000	308.790	74.117	194.654
947	1.89200	308.635	72.052	194.594
948	1.89400	308.509	69.964	194.583
949	1.89600	308.402	67.894	194.596
950	1.89800	308.282	65.814	194.578
951	1.90000	308.202	63.744	194.528
952	1.90200	308.087	61.666	194.518
953	1.90400	307.986	59.574	194.520
954	1.90600	307.882	57.499	194.473
955	1.90800	307.748	55.425	194.475
956	1.91000	307.679	53.335	194.488
957	1.91200	307.501	51.265	194.450
958	1.91400	307.358	49.178	194.515
959	1.91600	307.243	47.106	194.462
960	1.91800	307.136	45.001	194.562
961	1.92000	307.046	42.962	194.412
962	1.92200	306.937	40.892	194.370
963	1.92400	306.765	38.781	194.448
964	1.92600	306.595	36.687	194.521
965	1.92800	306.483	34.586	194.570
966	1.93000	306.274	32.524	194.451
967	1.93200	306.141	30.427	194.509
968	1.93400	306.036	28.376	194.411
969	1.93600	305.931	26.286	194.414
970	1.93800	305.793	24.214	194.414
971	1.94000	305.697	22.147	194.355
972	1.94200	305.586	20.062	194.280
973	1.94400	305.466	18.003	194.256
974	1.94600	305.261	15.898	194.276
975	1.94800	305.158	13.811	194.275
976	1.95000	305.003	11.729	194.372
977	1.95200	304.898	9.675	194.320
978	1.95400	304.838	7.621	194.225
979	1.95600	304.736	5.551	194.252
980	1.95800	304.598	3.431	194.436
981	1.96000	304.528	1.381	194.354
