NO_OF_FRAMES	3042
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 15:55:02.006	683436.86251110
DATA_INCLUDED	3D
MARKER_NAMES	h23_3g
TRAJECTORY_TYPES	Mixed
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
1959	3.91600	356.892	910.033	196.644
1960	3.91800	356.799	909.740	196.550
1961	3.92000	356.864	909.470	196.510
1962	3.92200	356.840	909.190	196.427
1963	3.92400	356.802	908.991	196.614
1964	3.92600	356.790	908.755	196.663
1965	3.92800	356.737	908.529	196.696
1966	3.93000	356.693	908.258	196.676
1967	3.93200	356.733	907.966	196.568
1968	3.93400	356.745	907.733	196.592
1969	3.93600	356.708	907.447	196.564
1970	3.93800	356.664	907.224	196.645
1971	3.94000	356.616	906.970	196.596
1972	3.94200	356.619	906.713	196.625
1973	3.94400	356.665	906.432	196.551
1974	3.94600	356.620	906.172	196.559
1975	3.94800	356.569	905.961	196.709
1976	3.95000	356.499	905.682	196.625
1977	3.95200	356.554	905.391	196.489
1978	3.95400	356.548	905.170	196.616
1979	3.95600	356.585	904.901	196.615
1980	3.95800	356.481	904.655	196.584
1981	3.96000	356.399	904.437	196.674
1982	3.96200	356.501	904.101	196.489
1983	3.96400	356.377	903.887	196.548
1984	3.96600	356.453	903.618	196.552
1985	3.96800	356.384	903.412	196.680
1986	3.97000	356.326	903.159	196.640
1987	3.97200	356.363	902.883	196.581
1988	3.97400	356.433	902.613	196.583
1989	3.97600	356.321	902.349	196.503
1990	3.97800	356.306	902.124	196.549
1991	3.98000	356.197	901.876	196.622
1992	3.98200	356.128	901.602	196.553
1993	3.98400	356.287	901.351	196.551
1994	3.98600	356.132	901.085	196.530
1995	3.98800	356.085	900.857	196.633
1996	3.99000	356.100	900.602	196.596
1997	3.99200	356.066	900.315	196.572
1998	3.99400	356.097	900.050	196.545
1999	3.99600	356.079	899.814	196.594
2000	3.99800	356.055	899.576	196.601
2001	4.00000	356.078	899.287	196.578
2002	4.00200	356.034	899.055	196.599
2003	4.00400	356.040	898.769	196.510
2004	4.00600	356.031	898.517	196.553
2005	4.00800	356.029	898.290	196.593
2006	4.01000	356.010	898.025	196.563
2007	4.01200	356.000	897.768	196.552
2008	4.01400	355.910	897.536	196.638
2009	4.01600	355.972	897.255	196.540
2010	4.01800	355.942	896.982	196.520
2011	4.02000	355.947	896.737	196.581
2012	4.02200	355.887	896.477	196.523
2013	4.02400	355.905	896.224	196.533
2014	4.02600	355.913	895.951	196.555
2015	4.02800	355.858	895.697	196.511
2016	4.03000	355.886	895.432	196.488
2017	4.03200	355.849	895.153	196.453
2018	4.03400	355.851	894.922	196.519
