NO_OF_FRAMES	1558
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 15:52:39.154	683294.01175850
DATA_INCLUDED	3D
MARKER_NAMES	h23_3g
TRAJECTORY_TYPES	Mixed
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
1091	2.18000	350.542	802.124	195.740
1092	2.18200	350.489	801.566	195.795
1093	2.18400	350.483	801.039	195.834
1094	2.18600	350.436	800.520	195.887
1095	2.18800	350.399	799.957	195.902
1096	2.19000	350.343	799.416	195.935
1097	2.19200	350.332	798.864	195.915
1098	2.19400	350.236	798.289	195.895
1099	2.19600	350.181	797.744	195.888
1100	2.19800	350.195	797.182	195.880
1101	2.20000	350.136	796.609	195.839
1102	2.20200	350.109	796.041	195.815
1103	2.20400	350.075	795.466	195.775
1104	2.20600	350.060	794.920	195.772
1105	2.20800	350.036	794.345	195.733
1106	2.21000	350.015	793.796	195.756
1107	2.21200	349.983	793.250	195.752
1108	2.21400	349.975	792.697	195.736
1109	2.21600	349.951	792.128	195.713
1110	2.21800	349.923	791.617	195.762
1111	2.22000	349.904	791.064	195.745
1112	2.22200	349.859	790.531	195.772
1113	2.22400	349.839	789.984	195.772
1114	2.22600	349.830	789.443	195.787
1115	2.22800	349.787	788.910	195.816
1116	2.23000	349.763	788.349	195.787
1117	2.23200	349.720	787.810	195.801
1118	2.23400	349.694	787.249	195.771
1119	2.23600	349.644	786.696	195.756
1120	2.23800	349.633	786.127	195.738
1121	2.24000	349.585	785.576	195.698
1122	2.24200	349.553	785.016	195.669
1123	2.24400	349.532	784.452	195.667
1124	2.24600	349.478	783.906	195.668
1125	2.24800	349.457	783.347	195.615
1126	2.25000	349.424	782.797	195.644
1127	2.25200	349.392	782.256	195.662
1128	2.25400	349.365	781.722	195.695
1129	2.25600	349.326	781.187	195.729
1130	2.25800	349.321	780.639	195.733
1131	2.26000	349.295	780.104	195.767
1132	2.26200	349.252	779.569	195.803
1133	2.26400	349.218	779.017	195.768
1134	2.26600	349.171	778.470	195.772
1135	2.26800	349.157	777.886	195.729
1136	2.27000	349.132	777.353	195.739
1137	2.27200	349.104	776.769	195.696
1138	2.27400	349.030	776.215	195.686
1139	2.27600	348.971	775.635	195.615
1140	2.27800	348.969	775.085	195.625
1141	2.28000	348.905	774.511	195.570
1142	2.28200	348.850	773.963	195.577
1143	2.28400	348.816	773.392	195.566
1144	2.28600	348.798	772.858	195.579
1145	2.28800	348.742	772.304	195.572
1146	2.29000	348.705	771.777	195.600
1147	2.29200	348.672	771.224	195.568
1148	2.29400	348.640	770.695	195.622
1149	2.29600	348.600	770.169	195.650
1150	2.29800	348.573	769.613	195.645
1151	2.30000	348.527	769.077	195.686
1152	2.30200	348.475	768.535	195.711
1153	2.30400	348.462	767.978	195.707
1154	2.30600	348.422	767.400	195.685
1155	2.30800	348.402	766.853	195.671
1156	2.31000	348.367	766.274	195.649
1157	2.31200	348.306	765.728	195.634
1158	2.31400	348.320	765.150	195.588
1159	2.31600	348.258	764.588	195.571
1160	2.31800	348.258	764.003	195.511
1161	2.32000	348.204	763.445	195.534
1162	2.32200	348.200	762.896	195.523
1163	2.32400	348.180	762.355	195.526
1164	2.32600	348.126	761.803	195.565
1165	2.32800	348.114	761.259	195.596
1166	2.33000	348.082	760.723	195.640
1167	2.33200	348.040	760.173	195.654
1168	2.33400	348.024	759.635	195.699
1169	2.33600	348.003	759.085	195.716
1170	2.33800	347.970	758.530	195.691
1171	2.34000	347.937	757.979	195.707
1172	2.34200	347.867	757.419	195.666
1173	2.34400	347.826	756.870	195.656
1174	2.34600	347.775	756.293	195.613
1175	2.34800	347.762	755.735	195.616
1176	2.35000	347.706	755.165	195.588
1177	2.35200	347.702	754.600	195.578
1178	2.35400	347.638	754.052	195.568
1179	2.35600	347.634	753.473	195.529
1180	2.35800	347.578	752.916	195.532
1181	2.36000	347.574	752.366	195.527
1182	2.36200	347.540	751.821	195.561
1183	2.36400	347.522	751.297	195.548
1184	2.36600	347.504	750.745	195.569
