NO_OF_FRAMES	2112
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-18, 15:59:21.324	683696.17620570
DATA_INCLUDED	3D
TITLE	Luftmostståndspåverkan av rörelsemängd 23.3g #3
MARKER_NAMES	h23_3g
COLLISION_TIME	0
TRAJECTORY_TYPES	Mixed
Frame	Time	h23_3g X	h23_3g Y	h23_3g Z	
1042	2.08200	355.485	889.067	196.469
1043	2.08400	355.482	888.634	196.509
1044	2.08600	355.441	888.201	196.440
1045	2.08800	355.419	887.782	196.445
1046	2.09000	355.427	887.332	196.375
1047	2.09200	355.413	886.914	196.420
1048	2.09400	355.351	886.516	196.447
1049	2.09600	355.378	886.041	196.378
1050	2.09800	355.332	885.627	196.401
1051	2.10000	355.337	885.212	196.423
1052	2.10200	355.310	884.784	196.373
1053	2.10400	355.294	884.348	196.373
1054	2.10600	355.262	883.926	196.338
1055	2.10800	355.231	883.502	196.371
1056	2.11000	355.241	883.075	196.364
1057	2.11200	355.190	882.652	196.396
1058	2.11400	355.154	882.249	196.450
1059	2.11600	355.167	881.827	196.460
1060	2.11800	355.067	881.402	196.445
1061	2.12000	355.101	880.963	196.411
1062	2.12200	355.107	880.541	196.421
1063	2.12400	354.993	880.094	196.343
1064	2.12600	355.082	879.666	196.386
1065	2.12800	354.950	879.219	196.308
1066	2.13000	354.943	878.803	196.333
1067	2.13200	354.873	878.383	196.339
1068	2.13400	354.878	877.929	196.299
1069	2.13600	354.826	877.512	196.278
1070	2.13800	354.772	877.067	196.292
1071	2.14000	354.789	876.657	196.270
1072	2.14200	354.767	876.200	196.251
1073	2.14400	354.731	875.806	196.299
1074	2.14600	354.686	875.387	196.349
1075	2.14800	354.674	874.943	196.228
1076	2.15000	354.626	874.523	196.349
1077	2.15200	354.640	874.113	196.326
1078	2.15400	354.620	873.666	196.341
1079	2.15600	354.575	873.249	196.326
1080	2.15800	354.547	872.821	196.321
1081	2.16000	354.500	872.418	196.312
1082	2.16200	354.470	871.993	196.350
1083	2.16400	354.440	871.593	196.384
1084	2.16600	354.409	871.141	196.317
1085	2.16800	354.375	870.741	196.352
1086	2.17000	354.363	870.309	196.375
1087	2.17200	354.321	869.867	196.299
1088	2.17400	354.308	869.462	196.358
1089	2.17600	354.301	869.031	196.317
1090	2.17800	354.263	868.579	196.250
1091	2.18000	354.250	868.145	196.232
1092	2.18200	354.218	867.726	196.222
1093	2.18400	354.168	867.275	196.155
1094	2.18600	354.147	866.873	196.190
1095	2.18800	354.134	866.435	196.200
1096	2.19000	354.115	865.998	196.141
1097	2.19200	354.084	865.599	196.217
1098	2.19400	354.082	865.155	196.146
1099	2.19600	354.040	864.729	196.184
1100	2.19800	354.050	864.312	196.149
1101	2.20000	354.022	863.886	196.190
1102	2.20200	354.001	863.469	196.153
1103	2.20400	353.963	863.040	196.220
1104	2.20600	353.947	862.635	196.217
1105	2.20800	353.935	862.190	196.212
1106	2.21000	353.871	861.801	196.278
1107	2.21200	353.853	861.381	196.336
1108	2.21400	353.829	860.949	196.295
1109	2.21600	353.816	860.501	196.249
1110	2.21800	353.814	860.084	196.216
1111	2.22000	353.776	859.613	196.174
1112	2.22200	353.769	859.213	196.186
1113	2.22400	353.738	858.762	196.166
1114	2.22600	353.714	858.342	196.157
1115	2.22800	353.725	857.884	196.124
1116	2.23000	353.682	857.485	196.136
1117	2.23200	353.631	857.035	196.114
1118	2.23400	353.615	856.614	196.107
1119	2.23600	353.635	856.168	196.107
1120	2.23800	353.592	855.763	196.103
