NO_OF_FRAMES	921
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-20, 19:07:19.004	867773.02854140
DATA_INCLUDED	3D
MARKER_NAMES	Puck1 - 1	Puck1 - 2	Puck1 - 3	Pucky - 1	Pucky - 2	Pucky - 3
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Measured
Frame	Time	Puck1 - 1 X	Puck1 - 1 Y	Puck1 - 1 Z	Puck1 - 2 X	Puck1 - 2 Y	Puck1 - 2 Z	Puck1 - 3 X	Puck1 - 3 Y	Puck1 - 3 Z	Pucky - 1 X	Pucky - 1 Y	Pucky - 1 Z	Pucky - 2 X	Pucky - 2 Y	Pucky - 2 Z	Pucky - 3 X	Pucky - 3 Y	Pucky - 3 Z	
2780	5.55800	279.541	349.623	165.808	283.728	368.970	165.694	299.624	346.686	165.739	489.186	364.590	164.785	474.604	380.130	165.174	471.886	353.234	165.191	
2781	5.56000	279.495	349.533	165.791	283.312	368.958	165.672	299.673	346.992	165.842	488.805	364.503	164.825	474.146	380.031	165.199	471.548	353.136	165.222	
2782	5.56200	279.478	349.444	165.776	282.935	368.946	165.651	299.790	347.377	165.802	488.453	364.465	164.794	473.810	379.977	165.168	471.169	353.065	165.195	
2783	5.56400	279.468	349.381	165.741	282.528	368.902	165.667	299.795	347.710	165.741	488.061	364.402	164.781	473.383	379.871	165.210	470.801	352.998	165.157	
2784	5.56600	279.466	349.311	165.724	282.134	368.861	165.603	299.873	348.020	165.765	487.679	364.324	164.835	473.002	379.815	165.147	470.476	352.868	165.188	
2785	5.56800	279.511	349.215	165.727	281.743	368.809	165.636	300.002	348.382	165.807	487.327	364.259	164.793	472.614	379.727	165.186	470.178	352.803	165.145	
2786	5.57000	279.528	349.082	165.734	281.350	368.762	165.621	300.001	348.706	165.764	486.913	364.181	164.848	472.216	379.637	165.161	469.747	352.721	165.140	
2787	5.57200	279.507	348.924	165.762	280.918	368.689	165.594	299.983	349.032	165.722	486.562	364.133	164.803	471.828	379.574	165.181	469.421	352.633	165.149	
2788	5.57400	279.531	348.801	165.784	280.580	368.635	165.597	300.047	349.383	165.719	486.200	364.070	164.791	471.438	379.492	165.138	469.092	352.543	165.128	
2789	5.57600	279.607	348.715	165.803	280.182	368.535	165.619	300.087	349.722	165.785	485.812	363.983	164.831	471.058	379.412	165.162	468.729	352.446	165.156	
2790	5.57800	279.621	348.647	165.818	279.804	368.465	165.626	300.039	350.030	165.745	485.483	363.953	164.783	470.674	379.331	165.151	468.384	352.406	165.094	
2791	5.58000	279.642	348.566	165.786	279.418	368.374	165.602	300.032	350.372	165.729	485.103	363.883	164.820	470.290	379.276	165.121	468.052	352.277	165.157	
2792	5.58200	279.626	348.457	165.741	279.028	368.258	165.629	300.033	350.719	165.777	484.736	363.846	164.787	469.864	379.150	165.136	467.696	352.203	165.136	
