NO_OF_FRAMES	921
NO_OF_DATA_TYPES	3
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:26:21
DATA_INCLUDED	Angular Velocity
DATA_TYPES	Angular_Velocity_YZ	Angular_Velocity_XZ	Angular_Velocity_XY

Frame	Time	Angular_Velocity_YZ	Angular_Velocity_XZ	Angular_Velocity_XY	
2884	5.76600	-7.999	4.127	0.477
2885	5.76800	-8.185	1.941	1.767
2886	5.77000	-8.087	1.019	0.100
2887	5.77200	-8.046	2.743	0.041
2888	5.77400	-6.109	2.094	1.657
2889	5.77600	-1.664	0.027	-0.282
2890	5.77800	1.358	-0.504	-1.603
2891	5.78000	1.210	0.848	0.047
2892	5.78200	3.950	-0.529	-0.051
2893	5.78400	9.176	-2.049	-1.931
2894	5.78600	10.186	-1.124	-1.835
2895	5.78800	8.021	0.467	-0.362
2896	5.79000	6.873	1.997	-0.946
2897	5.79200	5.915	1.142	-1.265
2898	5.79400	1.591	1.542	1.254
2899	5.79600	-1.980	3.516	1.319
2900	5.79800	-1.485	2.319	-0.121
2901	5.80000	-4.586	0.697	-0.378
2902	5.80200	-11.864	2.536	0.083
2903	5.80400	-14.994	3.713	0.450
2904	5.80600	-14.767	1.671	-0.249
2905	5.80800	-14.121	0.319	-1.271
2906	5.81000	-14.659	1.214	-1.543
2907	5.81200	-12.521	1.700	-0.755
2908	5.81400	-8.435	0.480	-1.017
2909	5.81600	-5.916	-0.011	-1.147
2910	5.81800	-1.800	1.714	-0.536
2911	5.82000	0.901	1.579	0.231
2912	5.82200	2.865	0.339	0.920
2913	5.82400	6.123	0.199	-0.212
2914	5.82600	7.247	0.703	0.263
2915	5.82800	6.523	0.606	1.351
2916	5.83000	3.551	-0.472	-0.182
2917	5.83200	0.853	-1.202	-0.299
2918	5.83400	-3.076	0.058	0.870
2919	5.83600	-7.139	0.859	0.488
2920	5.83800	-6.034	-1.047	-0.114
2921	5.84000	-9.073	-0.396	0.733
2922	5.84200	-14.037	1.459	1.089
2923	5.84400	-11.003	0.304	0.150
2924	5.84600	-8.818	-0.500	0.401
2925	5.84800	-10.721	1.430	1.625
2926	5.85000	-11.193	3.655	1.219
2927	5.85200	-7.473	1.495	-0.562
2928	5.85400	-5.896	0.520	-0.113
