NO_OF_FRAMES	921
NO_OF_DATA_TYPES	3
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:21:13
DATA_INCLUDED	Velocity
DATA_TYPES	Puck1 - 2_vel_X	Puck1 - 2_vel_Y	Puck1 - 2_vel_Z

Frame	Time	Puck1 - 2_vel_X	Puck1 - 2_vel_Y	Puck1 - 2_vel_Z	
2886	5.77000	7.875	-39.582	-0.393
2887	5.77200	8.067	-39.428	-0.559
2888	5.77400	8.190	-39.155	-0.472
2889	5.77600	8.536	-38.900	-0.288
2890	5.77800	8.742	-38.662	-0.208
2891	5.78000	8.777	-38.415	-0.148
2892	5.78200	8.630	-38.128	-0.215
2893	5.78400	8.394	-38.142	-0.440
2894	5.78600	8.406	-38.326	-0.625
2895	5.78800	8.559	-38.421	-0.202
2896	5.79000	8.628	-38.526	0.877
2897	5.79200	8.708	-38.558	1.620
2898	5.79400	8.820	-38.447	2.094
2899	5.79600	8.794	-38.121	2.409
2900	5.79800	8.677	-37.662	2.250
2901	5.80000	8.455	-37.127	1.993
2902	5.80200	8.226	-36.930	1.698
2903	5.80400	8.037	-36.948	1.497
2904	5.80600	7.958	-36.898	1.523
2905	5.80800	8.042	-36.915	1.583
2906	5.81000	8.179	-36.930	1.826
2907	5.81200	8.379	-36.962	2.075
2908	5.81400	8.687	-36.896	2.121
2909	5.81600	8.726	-36.586	1.938
2910	5.81800	8.736	-36.203	2.122
2911	5.82000	8.971	-35.819	2.758
2912	5.82200	8.854	-35.674	3.226
2913	5.82400	8.441	-35.916	3.323
2914	5.82600	7.913	-36.320	2.950
2915	5.82800	7.554	-36.800	2.240
2916	5.83000	7.509	-36.894	1.486
2917	5.83200	7.875	-36.605	0.900
2918	5.83400	8.213	-36.401	0.608
2919	5.83600	8.076	-36.442	0.520
2920	5.83800	7.457	-36.333	0.126
2921	5.84000	6.596	-36.118	-0.209
2922	5.84200	6.020	-36.197	-0.361
2923	5.84400	5.724	-36.031	-0.308
2924	5.84600	5.550	-35.864	-0.131
2925	5.84800	5.354	-36.045	-0.065
2926	5.85000	5.197	-36.145	0.047
2927	5.85200	4.844	-36.389	-0.011
2928	5.85400	4.135	-36.596	-0.062
2929	5.85600	3.410	-36.509	0.045
2930	5.85800	2.871	-36.228	0.208
