NO_OF_FRAMES	921
NO_OF_DATA_TYPES	1
FREQUENCY	500
TIME_STAMP	2024-10-20, 20:23:10
DATA_INCLUDED	Angular Velocity
DATA_TYPES	Angular_Velocity

Frame	Time	Angular_Velocity	
2992	5.98200	-10.800
2993	5.98400	-10.605
2994	5.98600	-10.915
2995	5.98800	-9.870
2996	5.99000	-6.612
2997	5.99200	-7.201
2998	5.99400	-7.612
2999	5.99600	-5.235
3000	5.99800	-2.878
3001	6.00000	-3.127
3002	6.00200	-2.344
3003	6.00400	1.853
3004	6.00600	2.471
3005	6.00800	3.197
3006	6.01000	7.882
3007	6.01200	7.102
3008	6.01400	7.862
3009	6.01600	10.105
3010	6.01800	9.531
3011	6.02000	10.750
3012	6.02200	10.665
3013	6.02400	11.567
3014	6.02600	12.831
3015	6.02800	15.433
3016	6.03000	19.316
3017	6.03200	20.016
3018	6.03400	20.716
3019	6.03600	24.018
3020	6.03800	25.659
3021	6.04000	25.058
3022	6.04200	23.385
3023	6.04400	25.004
3024	6.04600	24.485
3025	6.04800	24.187
3026	6.05000	21.057
3027	6.05200	18.800
3028	6.05400	21.872
3029	6.05600	21.856
3030	6.05800	20.878
3031	6.06000	19.984
3032	6.06200	18.214
3033	6.06400	19.569
3034	6.06600	25.068
3035	6.06800	28.212
3036	6.07000	29.014
3037	6.07200	26.064
3038	6.07400	26.271
3039	6.07600	26.884
3040	6.07800	25.946
3041	6.08000	24.380
3042	6.08200	22.020
3043	6.08400	21.829
3044	6.08600	22.369
3045	6.08800	24.319
3046	6.09000	27.534
3047	6.09200	23.996
3048	6.09400	19.962
3049	6.09600	20.035
3050	6.09800	18.479
3051	6.10000	17.532
3052	6.10200	17.290
3053	6.10400	16.345
3054	6.10600	14.635
3055	6.10800	14.513
3056	6.11000	14.803
3057	6.11200	13.362
3058	6.11400	11.690
3059	6.11600	10.317
3060	6.11800	6.703
3061	6.12000	4.194
3062	6.12200	2.062
3063	6.12400	-1.561
3064	6.12600	-4.537
3065	6.12800	-7.082
3066	6.13000	-8.084
3067	6.13200	-9.180
3068	6.13400	-12.512
3069	6.13600	-17.426
3070	6.13800	-21.725
3071	6.14000	-20.499
3072	6.14200	-16.857
3073	6.14400	-20.286
3074	6.14600	-25.079
3075	6.14800	-26.101
3076	6.15000	-27.956
3077	6.15200	-31.147
3078	6.15400	-31.937
3079	6.15600	-28.544
3080	6.15800	-28.942
3081	6.16000	-31.292
3082	6.16200	-30.415
3083	6.16400	-30.671
3084	6.16600	-30.682
3085	6.16800	-31.906
3086	6.17000	-34.256
3087	6.17200	-34.198
3088	6.17400	-29.569
3089	6.17600	-26.072
3090	6.17800	-27.743
3091	6.18000	-27.035
3092	6.18200	-23.235
3093	6.18400	-18.462
3094	6.18600	-17.114
3095	6.18800	-18.542
3096	6.19000	-16.341
3097	6.19200	-13.205
3098	6.19400	-9.483
3099	6.19600	-7.749
3100	6.19800	-7.997
3101	6.20000	-5.685
3102	6.20200	-4.028
3103	6.20400	-1.293
3104	6.20600	3.388
3105	6.20800	5.519
3106	6.21000	6.417
3107	6.21200	5.026
3108	6.21400	2.706
3109	6.21600	4.529
3110	6.21800	8.060
3111	6.22000	10.923
3112	6.22200	9.702
3113	6.22400	8.797
3114	6.22600	9.081
3115	6.22800	11.124
3116	6.23000	13.726
3117	6.23200	10.291
3118	6.23400	8.802
3119	6.23600	8.114
3120	6.23800	8.113
3121	6.24000	8.762
3122	6.24200	5.847
3123	6.24400	2.339
3124	6.24600	-0.546
3125	6.24800	-0.585
3126	6.25000	-2.367
3127	6.25200	-3.924
3128	6.25400	-3.641
3129	6.25600	-5.782
3130	6.25800	-11.470
3131	6.26000	-11.877
3132	6.26200	-11.953
3133	6.26400	-18.171
3134	6.26600	-18.014
3135	6.26800	-18.029
3136	6.27000	-18.667
3137	6.27200	-16.594
3138	6.27400	-14.729
3139	6.27600	-14.844
3140	6.27800	-14.500
3141	6.28000	-12.954
3142	6.28200	-14.159
3143	6.28400	-14.797
3144	6.28600	-12.887
3145	6.28800	-11.852
3146	6.29000	-10.020
3147	6.29200	-9.452
3148	6.29400	-9.749
3149	6.29600	-6.674
3150	6.29800	-4.709
3151	6.30000	-4.405
3152	6.30200	-4.330
3153	6.30400	-1.499
3154	6.30600	2.161
3155	6.30800	2.729
3156	6.31000	4.685
3157	6.31200	6.211
3158	6.31400	7.544
3159	6.31600	10.537
3160	6.31800	12.902
3161	6.32000	15.500
3162	6.32200	15.150
3163	6.32400	15.781
3164	6.32600	18.678
3165	6.32800	21.141
3166	6.33000	21.301
3167	6.33200	19.973
3168	6.33400	22.488
3169	6.33600	22.980
3170	6.33800	24.014
3171	6.34000	24.397
3172	6.34200	21.096
3173	6.34400	21.868
3174	6.34600	22.462
3175	6.34800	20.776
3176	6.35000	17.508
3177	6.35200	19.240
3178	6.35400	20.934
3179	6.35600	19.488
3180	6.35800	20.006
3181	6.36000	20.131
3182	6.36200	21.691
3183	6.36400	21.895
3184	6.36600	21.584
3185	6.36800	18.928
3186	6.37000	17.194
3187	6.37200	19.732
3188	6.37400	20.259
3189	6.37600	19.241
3190	6.37800	17.858
3191	6.38000	17.168
3192	6.38200	18.377
3193	6.38400	18.496
3194	6.38600	16.218
3195	6.38800	13.754
3196	6.39000	12.788
3197	6.39200	14.416
3198	6.39400	14.410
3199	6.39600	11.790
3200	6.39800	12.538
3201	6.40000	11.597
3202	6.40200	8.682
3203	6.40400	8.252
3204	6.40600	7.649
3205	6.40800	7.885
3206	6.41000	6.179
3207	6.41200	2.045
3208	6.41400	2.521
3209	6.41600	5.561
3210	6.41800	4.426
3211	6.42000	1.549
3212	6.42200	0.328
3213	6.42400	1.902
3214	6.42600	-1.117
3215	6.42800	-2.982
3216	6.43000	-3.903
3217	6.43200	-7.824
3218	6.43400	-6.730
3219	6.43600	-9.407
3220	6.43800	-11.592
3221	6.44000	-11.626
3222	6.44200	-16.079
3223	6.44400	-13.759
3224	6.44600	-12.278
3225	6.44800	-18.596
3226	6.45000	-18.162
3227	6.45200	-14.541
3228	6.45400	-16.222
3229	6.45600	-20.357
3230	6.45800	-20.369
3231	6.46000	-20.642
3232	6.46200	-21.898
3233	6.46400	-22.531
3234	6.46600	-24.915
3235	6.46800	-23.542
3236	6.47000	-21.271
3237	6.47200	-24.927
3238	6.47400	-25.932
3239	6.47600	-22.964
3240	6.47800	-22.369
3241	6.48000	-24.352
3242	6.48200	-23.067
3243	6.48400	-20.177
3244	6.48600	-20.153
3245	6.48800	-19.694
3246	6.49000	-21.776
3247	6.49200	-23.197
3248	6.49400	-23.132
3249	6.49600	-22.096
3250	6.49800	-20.321
3251	6.50000	-23.877
3252	6.50200	-25.756
3253	6.50400	-22.008
3254	6.50600	-20.260
3255	6.50800	-20.736
3256	6.51000	-21.254
3257	6.51200	-19.017
3258	6.51400	-16.676
3259	6.51600	-14.975
3260	6.51800	-17.176
3261	6.52000	-15.899
3262	6.52200	-12.259
3263	6.52400	-11.704
3264	6.52600	-10.838
3265	6.52800	-9.469
3266	6.53000	-7.439
3267	6.53200	-6.038
3268	6.53400	-6.155
3269	6.53600	-6.309
3270	6.53800	-1.298
3271	6.54000	-1.789
3272	6.54200	-5.555
3273	6.54400	-1.625
3274	6.54600	-2.022
3275	6.54800	-4.317
3276	6.55000	1.632
3277	6.55200	1.619
3278	6.55400	0.890
3279	6.55600	5.624
3280	6.55800	7.309
3281	6.56000	7.949
3282	6.56200	8.718
3283	6.56400	9.366
3284	6.56600	11.108
3285	6.56800	13.706
3286	6.57000	13.107
3287	6.57200	11.297
3288	6.57400	12.934
3289	6.57600	11.444
3290	6.57800	10.496
3291	6.58000	11.403
3292	6.58200	10.784
3293	6.58400	9.971
3294	6.58600	8.464
3295	6.58800	7.289
3296	6.59000	4.018
3297	6.59200	4.771
