NO_OF_FRAMES	921
NO_OF_DATA_TYPES	3
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:22:16
DATA_INCLUDED	Velocity
DATA_TYPES	Pucky - 1_vel_X	Pucky - 1_vel_Y	Pucky - 1_vel_Z

Frame	Time	Pucky - 1_vel_X	Pucky - 1_vel_Y	Pucky - 1_vel_Z	
2881	5.76000	-181.894	-28.265	0.574
2882	5.76200	-181.722	-28.416	0.839
2883	5.76400	-181.996	-28.287	1.038
2884	5.76600	-182.031	-28.149	0.729
2885	5.76800	-181.463	-28.041	0.529
2886	5.77000	-181.828	-27.970	0.474
2887	5.77200	-182.056	-27.597	-0.202
2888	5.77400	-181.401	-27.363	-0.813
2889	5.77600	-181.441	-27.360	-0.906
2890	5.77800	-181.719	-27.061	-1.381
2891	5.78000	-181.236	-27.013	-1.550
2892	5.78200	-180.928	-26.981	-1.773
2893	5.78400	-181.167	-26.923	-1.839
2894	5.78600	-181.125	-27.000	-1.638
2895	5.78800	-180.731	-26.932	-1.499
2896	5.79000	-180.921	-27.098	-0.815
2897	5.79200	-181.020	-27.154	-0.355
2898	5.79400	-180.491	-27.330	0.401
2899	5.79600	-180.687	-27.580	1.010
2900	5.79800	-181.010	-27.355	0.851
2901	5.80000	-180.764	-27.360	1.467
2902	5.80200	-180.731	-27.596	2.282
2903	5.80400	-180.922	-27.464	2.285
2904	5.80600	-181.047	-27.382	2.142
2905	5.80800	-180.975	-27.531	2.265
2906	5.81000	-181.231	-27.602	2.265
2907	5.81200	-181.387	-27.405	1.713
2908	5.81400	-180.999	-27.159	1.228
2909	5.81600	-180.986	-27.113	1.111
2910	5.81800	-181.391	-26.920	0.124
2911	5.82000	-181.207	-26.807	-0.692
2912	5.82200	-180.936	-26.855	-0.655
2913	5.82400	-181.116	-26.641	-1.278
2914	5.82600	-180.836	-26.587	-1.841
2915	5.82800	-180.535	-26.844	-1.801
2916	5.83000	-180.754	-26.923	-1.439
2917	5.83200	-180.783	-26.906	-1.540
2918	5.83400	-180.547	-27.199	-1.218
2919	5.83600	-180.510	-27.482	-0.650
2920	5.83800	-180.514	-27.538	-0.830
2921	5.84000	-180.341	-27.749	-0.122
2922	5.84200	-180.429	-28.088	0.608
2923	5.84400	-180.729	-28.206	0.380
2924	5.84600	-180.543	-28.160	0.353
2925	5.84800	-180.301	-28.308	0.786
2926	5.85000	-180.828	-28.450	1.005
2927	5.85200	-181.205	-28.338	0.474
2928	5.85400	-181.038	-28.370	0.297
2929	5.85600	-180.939	-28.353	-0.002
2930	5.85800	-181.136	-27.899	-0.930
2931	5.86000	-181.431	-27.927	-1.060
2932	5.86200	-181.160	-28.025	-1.048
2933	5.86400	-181.219	-27.632	-1.791
2934	5.86600	-181.308	-27.366	-2.290
2935	5.86800	-180.928	-27.400	-2.144
2936	5.87000	-181.134	-27.313	-2.238
2937	5.87200	-180.983	-26.905	-2.246
2938	5.87400	-180.495	-27.074	-1.569
2939	5.87600	-180.717	-27.327	-0.738
2940	5.87800	-180.777	-27.169	-0.757
2941	5.88000	-180.361	-27.378	-0.212
2942	5.88200	-180.192	-27.630	0.692
2943	5.88400	-180.508	-27.664	0.821
2944	5.88600	-180.523	-27.942	1.251
2945	5.88800	-180.298	-28.136	1.772
2946	5.89000	-180.365	-27.975	1.747
2947	5.89200	-180.242	-27.878	1.568
2948	5.89400	-180.135	-28.128	1.900
2949	5.89600	-180.507	-28.123	1.717
2950	5.89800	-180.640	-27.740	0.932
2951	5.90000	-180.461	-27.834	1.182
2952	5.90200	-180.589	-27.856	0.962
2953	5.90400	-180.604	-27.414	-0.084
