NO_OF_FRAMES	921
NO_OF_DATA_TYPES	1
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:19:27
DATA_INCLUDED	Velocity
DATA_TYPES	Puck1 - 2_vel

Frame	Time	Puck1 - 2_vel	
3003	6.00400	46.905
3004	6.00600	47.249
3005	6.00800	47.674
3006	6.01000	47.955
3007	6.01200	47.978
3008	6.01400	47.915
3009	6.01600	47.895
3010	6.01800	47.754
3011	6.02000	47.608
3012	6.02200	47.655
3013	6.02400	47.656
3014	6.02600	47.866
3015	6.02800	48.232
3016	6.03000	48.465
3017	6.03200	48.759
3018	6.03400	49.034
3019	6.03600	49.232
3020	6.03800	49.387
3021	6.04000	49.506
3022	6.04200	49.515
3023	6.04400	49.314
3024	6.04600	48.984
3025	6.04800	48.737
3026	6.05000	48.604
3027	6.05200	48.473
3028	6.05400	48.250
3029	6.05600	47.815
3030	6.05800	47.485
3031	6.06000	47.290
3032	6.06200	47.289
3033	6.06400	47.828
3034	6.06600	48.550
3035	6.06800	49.205
3036	6.07000	49.614
3037	6.07200	49.697
3038	6.07400	49.598
3039	6.07600	49.235
3040	6.07800	48.814
3041	6.08000	48.582
3042	6.08200	48.688
3043	6.08400	48.814
3044	6.08600	48.833
3045	6.08800	48.773
3046	6.09000	48.599
3047	6.09200	48.385
3048	6.09400	48.165
3049	6.09600	48.052
3050	6.09800	48.410
3051	6.10000	48.955
3052	6.10200	49.115
3053	6.10400	49.246
3054	6.10600	49.177
3055	6.10800	48.698
3056	6.11000	48.210
3057	6.11200	48.129
3058	6.11400	48.471
3059	6.11600	48.846
3060	6.11800	49.123
3061	6.12000	49.312
3062	6.12200	49.454
3063	6.12400	49.526
3064	6.12600	49.624
3065	6.12800	49.771
3066	6.13000	49.718
3067	6.13200	49.632
3068	6.13400	49.679
3069	6.13600	49.750
3070	6.13800	49.757
3071	6.14000	49.557
3072	6.14200	49.128
3073	6.14400	48.859
3074	6.14600	49.074
3075	6.14800	49.618
3076	6.15000	50.114
3077	6.15200	50.348
3078	6.15400	50.357
3079	6.15600	50.171
3080	6.15800	50.107
3081	6.16000	50.142
3082	6.16200	50.246
3083	6.16400	50.522
3084	6.16600	50.714
3085	6.16800	50.727
3086	6.17000	50.706
3087	6.17200	50.700
3088	6.17400	50.610
3089	6.17600	50.476
3090	6.17800	50.400
3091	6.18000	50.561
3092	6.18200	50.738
3093	6.18400	50.611
3094	6.18600	50.404
3095	6.18800	50.287
3096	6.19000	50.227
3097	6.19200	50.291
3098	6.19400	50.536
3099	6.19600	50.773
3100	6.19800	50.885
3101	6.20000	50.709
3102	6.20200	50.406
3103	6.20400	50.359
3104	6.20600	50.269
3105	6.20800	50.317
3106	6.21000	50.748
3107	6.21200	51.143
3108	6.21400	51.413
3109	6.21600	51.202
3110	6.21800	50.679
