NO_OF_FRAMES	921
NO_OF_DATA_TYPES	1
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:27:27
DATA_INCLUDED	Angular Velocity
DATA_TYPES	Angular_Velocity

Frame	Time	Angular_Velocity	
2747	5.49200	-38.210
2748	5.49400	27.655
2749	5.49600	-1.517
2750	5.49800	-0.673
2751	5.50000	-0.854
2752	5.50200	-2.535
2753	5.50400	-0.890
2754	5.50600	0.379
2755	5.50800	-0.718
2756	5.51000	-1.881
2757	5.51200	-1.730
2758	5.51400	-0.971
2759	5.51600	0.184
2760	5.51800	0.027
2761	5.52000	0.965
2762	5.52200	1.080
2763	5.52400	1.233
2764	5.52600	0.070
2765	5.52800	0.831
2766	5.53000	2.206
2767	5.53200	-0.262
2768	5.53400	-0.912
2769	5.53600	-1.744
2770	5.53800	-1.409
2771	5.54000	-1.535
2772	5.54200	-2.226
2773	5.54400	-1.595
2774	5.54600	-1.830
2775	5.54800	-1.300
2776	5.55000	-1.922
2777	5.55200	-1.573
2778	5.55400	-0.018
2779	5.55600	-0.732
2780	5.55800	-0.561
2781	5.56000	0.392
2782	5.56200	-0.149
2783	5.56400	0.559
2784	5.56600	0.008
2785	5.56800	-0.852
2786	5.57000	-1.065
2787	5.57200	-2.592
2788	5.57400	-1.152
2789	5.57600	-1.769
2790	5.57800	-1.935
2791	5.58000	-1.793
2792	5.58200	-2.445
2793	5.58400	-1.325
2794	5.58600	-2.339
2795	5.58800	-2.807
2796	5.59000	-1.296
2797	5.59200	-1.542
2798	5.59400	-2.579
2799	5.59600	-1.995
2800	5.59800	-1.314
2801	5.60000	-1.826
2802	5.60200	-2.080
2803	5.60400	-0.909
2804	5.60600	-1.109
2805	5.60800	-1.475
2806	5.61000	-0.845
2807	5.61200	-0.054
2808	5.61400	0.627
2809	5.61600	-1.111
2810	5.61800	-1.906
2811	5.62000	-1.418
2812	5.62200	-0.733
2813	5.62400	-1.011
2814	5.62600	-2.988
2815	5.62800	-1.685
2816	5.63000	-2.348
2817	5.63200	-3.677
2818	5.63400	-2.215
2819	5.63600	-1.629
2820	5.63800	-1.279
2821	5.64000	-2.159
2822	5.64200	-1.898
2823	5.64400	0.867
2824	5.64600	0.629
2825	5.64800	-0.105
2826	5.65000	0.882
2827	5.65200	0.821
2828	5.65400	1.416
2829	5.65600	0.264
2830	5.65800	-0.604
2831	5.66000	-0.114
2832	5.66200	-0.868
