NO_OF_FRAMES	921
NO_OF_DATA_TYPES	1
FREQUENCY	500
TIME_STAMP	2024-10-20, 19:18:02
DATA_INCLUDED	Velocity
DATA_TYPES	Pucky - 1_vel

Frame	Time	Pucky - 1_vel	
3003	6.00400	181.505
3004	6.00600	181.576
3005	6.00800	181.576
3006	6.01000	181.480
3007	6.01200	181.843
3008	6.01400	181.768
3009	6.01600	181.697
3010	6.01800	181.919
3011	6.02000	181.745
3012	6.02200	182.026
3013	6.02400	181.858
3014	6.02600	181.489
3015	6.02800	181.943
3016	6.03000	181.544
3017	6.03200	181.151
3018	6.03400	181.188
3019	6.03600	180.720
3020	6.03800	180.801
3021	6.04000	181.173
3022	6.04200	180.710
3023	6.04400	180.722
3024	6.04600	180.811
3025	6.04800	180.377
3026	6.05000	180.636
3027	6.05200	180.797
3028	6.05400	180.810
3029	6.05600	180.787
3030	6.05800	180.747
3031	6.06000	180.857
3032	6.06200	180.793
3033	6.06400	180.807
3034	6.06600	180.490
3035	6.06800	180.397
3036	6.07000	180.571
3037	6.07200	180.322
3038	6.07400	180.480
3039	6.07600	180.542
3040	6.07800	180.026
3041	6.08000	180.094
3042	6.08200	180.287
3043	6.08400	180.112
3044	6.08600	180.548
3045	6.08800	180.468
3046	6.09000	180.253
3047	6.09200	180.577
3048	6.09400	180.242
3049	6.09600	180.325
3050	6.09800	180.487
3051	6.10000	180.308
3052	6.10200	180.422
3053	6.10400	180.490
3054	6.10600	180.458
3055	6.10800	180.307
3056	6.11000	180.439
3057	6.11200	180.413
3058	6.11400	180.051
3059	6.11600	180.273
3060	6.11800	180.263
3061	6.12000	179.972
3062	6.12200	180.211
3063	6.12400	179.785
3064	6.12600	179.750
3065	6.12800	180.176
3066	6.13000	179.587
3067	6.13200	179.786
3068	6.13400	179.977
3069	6.13600	179.693
3070	6.13800	180.172
3071	6.14000	180.087
3072	6.14200	179.708
3073	6.14400	179.978
3074	6.14600	179.831
3075	6.14800	179.554
3076	6.15000	179.833
3077	6.15200	179.767
3078	6.15400	179.366
3079	6.15600	179.346
3080	6.15800	179.338
3081	6.16000	179.013
3082	6.16200	179.198
3083	6.16400	179.251
3084	6.16600	178.777
3085	6.16800	179.204
3086	6.17000	179.133
3087	6.17200	178.579
3088	6.17400	179.150
3089	6.17600	178.715
3090	6.17800	178.370
3091	6.18000	179.341
3092	6.18200	179.428
3093	6.18400	179.119
3094	6.18600	179.191
3095	6.18800	179.086
3096	6.19000	178.973
3097	6.19200	178.958
3098	6.19400	178.933
3099	6.19600	179.049
3100	6.19800	179.084
3101	6.20000	178.971
3102	6.20200	178.692
3103	6.20400	178.719
3104	6.20600	178.666
3105	6.20800	178.568
3106	6.21000	178.780
3107	6.21200	178.314
3108	6.21400	178.284
3109	6.21600	178.685
3110	6.21800	178.277
3111	6.22000	178.381
3112	6.22200	178.725
3113	6.22400	178.526
3114	6.22600	178.709
3115	6.22800	178.876
3116	6.23000	178.752
3117	6.23200	178.754
3118	6.23400	178.810
3119	6.23600	178.834
3120	6.23800	178.698
3121	6.24000	178.796
3122	6.24200	178.659
3123	6.24400	178.385
3124	6.24600	178.610
3125	6.24800	178.281
3126	6.25000	178.103
3127	6.25200	178.225
3128	6.25400	177.699
3129	6.25600	177.793
3130	6.25800	177.903
3131	6.26000	177.335
3132	6.26200	177.480
3133	6.26400	177.542
3134	6.26600	177.062
3135	6.26800	177.173
3136	6.27000	177.304
3137	6.27200	177.071
3138	6.27400	177.149
3139	6.27600	177.322
3140	6.27800	177.503
3141	6.28000	177.472
3142	6.28200	177.207
3143	6.28400	177.078
3144	6.28600	177.076
3145	6.28800	177.342
3146	6.29000	177.194
3147	6.29200	177.098
3148	6.29400	177.454
3149	6.29600	177.315
3150	6.29800	177.244
3151	6.30000	177.134
3152	6.30200	176.679
3153	6.30400	176.864
3154	6.30600	177.100
3155	6.30800	176.666
3156	6.31000	176.418
3157	6.31200	176.680
3158	6.31400	176.644
3159	6.31600	176.309
3160	6.31800	176.302
3161	6.32000	176.491
3162	6.32200	176.360
3163	6.32400	176.136
3164	6.32600	176.311
3165	6.32800	176.380
3166	6.33000	176.265
3167	6.33200	176.350
3168	6.33400	176.489
3169	6.33600	176.504
3170	6.33800	176.424
3171	6.34000	176.632
3172	6.34200	176.485
3173	6.34400	176.324
3174	6.34600	176.618
3175	6.34800	176.716
3176	6.35000	176.711
3177	6.35200	176.901
3178	6.35400	177.614
3179	6.35600	178.723
3180	6.35800	179.081
3181	6.36000	179.396
3182	6.36200	180.775
3183	6.36400	181.607
3184	6.36600	181.227
3185	6.36800	180.756
3186	6.37000	180.356
3187	6.37200	179.490
3188	6.37400	178.524
3189	6.37600	177.155
3190	6.37800	175.067
3191	6.38000	173.295
3192	6.38200	171.651
3193	6.38400	169.137
3194	6.38600	166.614
3195	6.38800	164.006
3196	6.39000	160.920
3197	6.39200	158.354
3198	6.39400	155.686
3199	6.39600	152.080
3200	6.39800	148.857
3201	6.40000	145.742
3202	6.40200	142.394
3203	6.40400	139.625
3204	6.40600	136.623
3205	6.40800	133.011
3206	6.41000	129.992
3207	6.41200	127.354
3208	6.41400	124.253
3209	6.41600	121.861
3210	6.41800	119.748
3211	6.42000	117.113
3212	6.42200	114.856
3213	6.42400	113.281
3214	6.42600	112.070
3215	6.42800	110.578
3216	6.43000	108.738
3217	6.43200	107.349
3218	6.43400	106.624
3219	6.43600	105.864
3220	6.43800	104.838
3221	6.44000	104.172
3222	6.44200	103.620
3223	6.44400	103.321
3224	6.44600	103.696
3225	6.44800	103.913
3226	6.45000	103.528
3227	6.45200	104.017
3228	6.45400	105.154
3229	6.45600	105.641
3230	6.45800	105.682
3231	6.46000	105.844
3232	6.46200	106.344
3233	6.46400	106.423
3234	6.46600	106.309
3235	6.46800	106.292
3236	6.47000	106.383
3237	6.47200	106.195
3238	6.47400	105.966
3239	6.47600	106.245
3240	6.47800	106.238
3241	6.48000	106.153
3242	6.48200	106.075
3243	6.48400	105.906
3244	6.48600	105.887
3245	6.48800	105.862
3246	6.49000	105.862
3247	6.49200	105.770
3248	6.49400	105.556
3249	6.49600	105.352
3250	6.49800	105.377
