NO_OF_FRAMES	1598
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 11:34:23.998	926997.74098940
DATA_INCLUDED	3D
MARKER_NAMES	v43_3g_orgio	v43_3g_X	v43_3g_Y	h43_5g_origo	h43_5g_X	h43_5g_Y
TRAJECTORY_TYPES	Measured	Mixed	Measured	Measured	Measured	Measured
Frame	Time	v43_3g_orgio X	v43_3g_orgio Y	v43_3g_orgio Z	v43_3g_X X	v43_3g_X Y	v43_3g_X Z	v43_3g_Y X	v43_3g_Y Y	v43_3g_Y Z	h43_5g_origo X	h43_5g_origo Y	h43_5g_origo Z	h43_5g_X X	h43_5g_X Y	h43_5g_X Z	h43_5g_Y X	h43_5g_Y Y	h43_5g_Y Z	
4224	8.44600	397.807	369.863	162.790	448.495	396.053	163.241	366.686	415.464	163.358	531.022	567.569	163.269	586.249	556.822	163.280	540.162	622.002	165.043
4225	8.44800	397.896	370.406	162.880	449.085	395.667	163.275	367.651	416.546	163.374	530.874	567.126	163.284	586.212	557.220	163.273	539.159	621.720	165.052
4226	8.45000	398.058	370.958	162.772	449.648	395.262	163.245	368.592	417.592	163.395	530.756	566.736	163.301	586.200	557.520	163.311	538.242	621.398	165.041
4227	8.45200	398.160	371.483	162.868	450.237	394.916	163.161	369.549	418.630	163.404	530.579	566.259	163.282	586.207	557.874	163.319	537.325	621.054	164.949
4228	8.45400	398.291	372.044	162.775	450.797	394.496	163.197	370.545	419.666	163.381	530.461	565.885	163.300	586.130	558.326	163.250	536.366	620.691	165.060
4229	8.45600	398.405	372.543	162.856	451.296	394.064	163.188	371.533	420.711	163.343	530.282	565.426	163.312	586.070	558.599	163.303	535.447	620.394	165.068
4230	8.45800	398.499	373.097	162.816	451.846	393.685	163.138	372.521	421.714	163.359	530.142	565.011	163.313	586.055	558.944	163.295	534.522	620.075	164.904
4231	8.46000	398.647	373.612	162.861	452.325	393.252	163.097	373.507	422.691	163.395	530.018	564.612	163.314	585.969	559.420	163.245	533.579	619.591	165.003
4232	8.46200	398.724	374.168	162.855	452.776	392.778	163.140	374.541	423.658	163.417	529.846	564.135	163.327	585.887	559.703	163.281	532.665	619.287	164.964
4233	8.46400	398.851	374.678	162.806	453.272	392.389	163.077	375.552	424.624	163.407	529.723	563.745	163.314	585.817	560.020	163.289	531.726	618.933	164.856
4234	8.46600	398.965	375.263	162.844	453.705	391.913	163.055	376.578	425.557	163.434	529.560	563.294	163.313	585.717	560.503	163.286	530.834	618.401	164.980
4235	8.46800	399.102	375.722	162.832	454.124	391.474	163.095	377.619	426.454	163.465	529.411	562.850	163.330	585.575	560.834	163.243	529.899	618.096	164.911
4236	8.47000	399.248	376.317	162.884	454.533	391.038	162.956	378.653	427.375	163.417	529.275	562.480	163.285	585.431	561.156	163.216	528.933	617.624	164.932
4237	8.47200	399.329	376.790	162.809	454.936	390.556	163.017	379.688	428.262	163.404	529.093	561.984	163.330	585.314	561.613	163.228	528.014	617.162	164.941
4238	8.47400	399.490	377.370	162.927	455.307	390.097	162.992	380.719	429.117	163.491	528.973	561.596	163.285	585.208	561.967	163.204	527.058	616.774	164.944
4239	8.47600	399.525	377.884	162.769	455.633	389.628	162.923	381.784	429.986	163.481	528.815	561.162	163.317	585.032	562.277	163.194	526.115	616.234	164.960
4240	8.47800	399.689	378.422	162.945	456.015	389.154	162.967	382.873	430.846	163.456	528.653	560.685	163.301	584.859	562.653	163.281	525.176	615.822	164.945
4241	8.48000	399.750	378.970	162.748	456.314	388.668	162.895	383.936	431.647	163.519	528.532	560.324	163.273	584.610	563.090	163.231	524.239	615.323	164.982
4242	8.48200	399.869	379.464	162.944	456.569	388.202	162.956	384.986	432.446	163.488	528.360	559.846	163.289	584.397	563.392	163.266	523.281	614.836	164.912
4243	8.48400	400.009	380.023	162.793	456.889	387.682	162.922	386.081	433.227	163.489	528.206	559.421	163.275	584.228	563.738	163.318	522.381	614.345	164.966
4244	8.48600	400.213	380.550	162.884	457.133	387.181	162.951	387.159	434.010	163.526	528.090	559.032	163.263	584.105	564.192	163.250	521.414	613.813	164.908
4245	8.48800	400.316	381.068	162.822	457.385	386.745	162.845	388.246	434.748	163.550	527.909	558.528	163.293	583.855	564.521	163.269	520.524	613.314	164.948
4246	8.49000	400.395	381.649	162.767	457.526	386.200	162.898	389.302	435.459	163.562	527.782	558.166	163.235	583.513	564.848	163.279	519.573	612.747	164.888
4247	8.49200	400.483	382.104	162.877	457.840	385.712	162.971	390.452	436.222	163.506	527.624	557.698	163.267	583.343	565.284	163.210	518.677	612.232	164.894
4248	8.49400	400.627	382.683	162.791	457.983	385.219	162.775	391.512	436.883	163.619	527.479	557.265	163.238	583.082	565.610	163.262	517.729	611.626	164.895
4249	8.49600	400.739	383.174	162.895	458.086	384.695	162.990	392.642	437.592	163.536	527.333	556.876	163.226	582.824	565.939	163.282	516.860	611.104	164.856
4250	8.49800	400.929	383.730	162.858	458.239	384.219	162.760	393.713	438.233	163.555	527.181	556.397	163.276	582.518	566.351	163.183	515.901	610.480	164.887
4251	8.50000	401.086	384.251	162.861	458.301	383.685	162.926	394.837	438.909	163.575	527.025	555.990	163.203	582.239	566.700	163.254	515.036	609.940	164.816
4252	8.50200	401.179	384.782	162.879	458.425	383.145	162.830	395.909	439.513	163.538	526.914	555.582	163.223	581.927	567.029	163.274	514.101	609.291	164.830
4253	8.50400	401.305	385.309	162.803	458.556	382.745	162.715	397.042	440.136	163.530	526.733	555.096	163.256	581.607	567.389	163.235	513.208	608.714	164.819
4254	8.50600	401.405	385.832	162.838	458.633	382.118	162.871	398.133	440.707	163.622	526.609	554.734	163.168	581.289	567.756	163.244	512.278	608.066	164.772
4255	8.50800	401.515	386.344	162.827	458.689	381.740	162.707	399.278	441.311	163.520	526.453	554.264	163.265	580.971	568.109	163.250	511.403	607.434	164.821
4256	8.51000	401.654	386.893	162.844	458.729	381.179	162.793	400.407	441.830	163.650	526.296	553.857	163.192	580.585	568.433	163.241	510.495	606.815	164.699
4257	8.51200	401.787	387.397	162.851	458.679	380.677	162.822	401.553	442.415	163.488	526.171	553.458	163.199	580.234	568.775	163.263	509.593	606.154	164.794
4258	8.51400	401.921	387.960	162.803	458.675	380.239	162.717	402.703	442.882	163.656	525.974	552.970	163.233	579.894	569.153	163.256	508.706	605.482	164.700
4259	8.51600	402.036	388.448	162.846	458.659	379.656	162.883	403.724	443.413	163.500	525.877	552.599	163.193	579.491	569.469	163.261	507.812	604.825	164.702
4260	8.51800	402.176	389.005	162.846	458.567	379.234	162.777	404.855	443.923	163.583	525.685	552.146	163.260	579.057	569.766	163.266	506.901	604.121	164.717
4261	8.52000	402.262	389.517	162.838	458.564	378.709	162.856	405.847	444.299	163.630	525.586	551.714	163.234	578.693	570.135	163.274	506.046	603.452	164.592
4262	8.52200	402.415	390.042	162.908	458.468	378.224	162.883	406.966	444.910	163.520	525.382	551.332	163.179	578.284	570.478	163.264	505.154	602.747	164.671
