NO_OF_FRAMES	1453
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 11:41:31.017	927424.75938200
DATA_INCLUDED	3D
MARKER_NAMES	v43_3g_origo	v43_3g_X	v43_3g_Y	h43_5g_origo	h43_5g_X	h43_5g_Y
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured	Mixed
Frame	Time	v43_3g_origo X	v43_3g_origo Y	v43_3g_origo Z	v43_3g_X X	v43_3g_X Y	v43_3g_X Z	v43_3g_Y X	v43_3g_Y Y	v43_3g_Y Z	h43_5g_origo X	h43_5g_origo Y	h43_5g_origo Z	h43_5g_X X	h43_5g_X Y	h43_5g_X Z	h43_5g_Y X	h43_5g_Y Y	h43_5g_Y Z	
3398	6.79400	271.127	415.469	162.950	304.048	369.156	163.557	311.866	452.571	163.597	530.179	627.555	163.482	539.811	682.238	164.246	475.954	637.881	163.685
3399	6.79600	271.126	415.636	162.914	304.879	369.967	163.617	311.123	453.523	163.605	529.655	627.047	163.452	539.237	681.765	163.963	475.521	637.370	163.684
3400	6.79800	271.112	415.823	162.941	305.813	370.842	163.569	310.421	454.440	163.677	529.183	626.585	163.465	538.741	681.130	163.812	474.923	636.890	163.659
3401	6.80000	271.115	416.012	163.030	306.629	371.667	163.562	309.616	455.399	163.637	528.686	626.098	163.489	538.230	680.621	163.526	474.471	636.404	163.707
3402	6.80200	271.126	416.189	163.071	307.470	372.506	163.520	308.844	456.315	163.678	528.184	625.612	163.482	537.806	680.050	163.391	473.906	635.915	163.668
3403	6.80400	271.117	416.374	163.034	308.302	373.418	163.501	308.070	457.214	163.693	527.710	625.147	163.528	537.415	679.493	163.261	473.430	635.429	163.716
3404	6.80600	271.099	416.565	162.949	309.127	374.342	163.529	307.259	458.085	163.693	527.172	624.645	163.487	537.167	678.928	162.967	472.888	634.941	163.678
3405	6.80800	271.091	416.757	162.895	309.938	375.253	163.509	306.447	458.957	163.693	526.693	624.182	163.501	536.888	678.367	162.985	472.384	634.437	163.693
3406	6.81000	271.100	416.944	162.921	310.701	376.167	163.522	305.620	459.801	163.711	526.173	623.711	163.529	536.434	677.962	162.942	471.846	633.957	163.701
3407	6.81200	271.103	417.133	163.010	311.503	377.120	163.451	304.762	460.655	163.714	525.643	623.226	163.492	535.975	677.486	163.183	471.322	633.453	163.689
3408	6.81400	271.090	417.304	163.070	312.242	378.068	163.429	303.920	461.465	163.736	525.147	622.770	163.523	535.437	677.165	163.274	470.821	632.985	163.679
3409	6.81600	271.067	417.472	163.067	313.008	379.031	163.402	303.055	462.257	163.760	524.604	622.276	163.470	534.954	676.707	163.518	470.261	632.460	163.669
3410	6.81800	271.043	417.647	163.015	313.716	379.998	163.411	302.197	463.066	163.752	524.093	621.796	163.483	534.398	676.345	163.616	469.798	631.994	163.658
3411	6.82000	271.041	417.837	162.929	314.411	381.015	163.379	301.276	463.840	163.716	523.597	621.340	163.516	533.921	675.911	163.880	469.199	631.494	163.667
3412	6.82200	271.042	418.040	162.921	315.136	382.050	163.347	300.396	464.561	163.776	523.039	620.840	163.445	533.413	675.576	164.080	468.774	630.986	163.637
3413	6.82400	271.044	418.228	162.979	315.815	383.067	163.318	299.476	465.335	163.772	522.571	620.382	163.511	532.952	675.188	164.335	468.149	630.511	163.694
3414	6.82600	271.038	418.406	163.022	316.487	384.094	163.334	298.549	466.020	163.773	522.027	619.889	163.457	532.403	674.827	164.545	467.742	630.002	163.635
3415	6.82800	271.040	418.558	163.053	317.120	385.156	163.315	297.629	466.706	163.776	521.533	619.418	163.457	531.925	674.465	164.759	467.133	629.512	163.659
3416	6.83000	271.040	418.716	163.035	317.767	386.235	163.264	296.686	467.417	163.792	521.021	618.964	163.489	531.443	674.092	165.017	466.692	629.026	163.681
3417	6.83200	271.000	418.891	162.983	318.379	387.287	163.262	295.727	468.058	163.751	520.493	618.469	163.438	530.967	673.765	165.205	466.148	628.539	163.643
3418	6.83400	270.968	419.101	162.927	318.981	388.385	163.242	294.792	468.691	163.789	519.996	618.015	163.472	530.529	673.339	165.487	465.629	628.042	163.681
3419	6.83600	270.968	419.322	162.918	319.561	389.489	163.203	293.801	469.340	163.731	519.481	617.519	163.453	530.051	673.005	165.629	465.163	627.540	163.610
3420	6.83800	270.970	419.501	162.962	320.116	390.594	163.167	292.875	469.911	163.789	518.966	617.049	163.422	529.587	672.566	165.905	464.559	627.050	163.665
3421	6.84000	270.986	419.653	162.993	320.681	391.710	163.177	291.853	470.552	163.749	518.492	616.584	163.472	529.045	672.203	165.976	464.129	626.565	163.627
3422	6.84200	270.988	419.794	163.008	321.183	392.824	163.157	290.896	471.061	163.795	517.919	616.092	163.389	528.527	671.752	166.155	463.536	626.057	163.652
3423	6.84400	270.980	419.962	163.005	321.726	393.982	163.146	289.859	471.657	163.742	517.473	615.626	163.471	527.940	671.377	166.189	463.102	625.582	163.659
3424	6.84600	270.973	420.165	162.998	322.205	395.116	163.157	288.861	472.167	163.758	516.929	615.150	163.422	527.405	670.947	166.309	462.519	625.074	163.655
3425	6.84800	270.972	420.367	162.960	322.693	396.274	163.149	287.849	472.692	163.772	516.457	614.670	163.439	526.795	670.520	166.395	462.077	624.598	163.662
3426	6.85000	270.973	420.562	162.970	323.157	397.478	163.153	286.819	473.183	163.726	515.946	614.208	163.456	526.197	670.121	166.439	461.509	624.090	163.659
3427	6.85200	270.943	420.740	162.982	323.599	398.646	163.161	285.799	473.665	163.759	515.408	613.721	163.424	525.600	669.620	166.526	461.061	623.606	163.650
3428	6.85400	270.936	420.899	162.996	324.009	399.840	163.152	284.753	474.103	163.718	514.927	613.267	163.459	524.947	669.233	166.493	460.506	623.134	163.679
3429	6.85600	270.938	421.058	163.009	324.397	401.023	163.097	283.695	474.593	163.733	514.403	612.787	163.446	524.327	668.697	166.575	460.038	622.613	163.640
3430	6.85800	270.932	421.209	163.039	324.760	402.217	163.059	282.705	474.942	163.726	513.886	612.300	163.445	523.636	668.281	166.442	459.498	622.163	163.637
3431	6.86000	270.933	421.394	163.034	325.117	403.428	163.051	281.632	475.373	163.796	513.408	611.862	163.453	522.794	667.514	165.960	458.968	621.638	163.633
3432	6.86200	270.908	421.607	163.012	325.460	404.658	163.072	280.564	475.758	163.788	512.860	611.351	163.433	522.053	666.896	165.448	458.474	621.163	163.610
