NO_OF_FRAMES	741
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 17:57:43.027	949996.67041030
DATA_INCLUDED	3D
MARKER_NAMES	h31_6g	v5_9g	hx	hy	vx	vy
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	h31_6g X	h31_6g Y	h31_6g Z	v5_9g X	v5_9g Y	v5_9g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	
539	1.07600	312.602	432.548	165.331	566.832	437.560	161.634	296.754	445.867	165.979	300.603	415.823	165.606	555.227	453.829	165.941	551.903	425.044	165.600
540	1.07800	312.625	432.540	165.348	566.067	437.524	161.623	296.785	445.868	166.011	300.610	415.814	165.622	554.422	453.764	165.949	551.201	424.990	165.593
541	1.08000	312.648	432.521	165.318	565.328	437.487	161.582	296.808	445.868	165.980	300.618	415.805	165.608	553.625	453.716	165.956	550.487	424.970	165.551
542	1.08200	312.671	432.513	165.336	564.576	437.448	161.574	296.831	445.859	165.997	300.633	415.805	165.608	552.893	453.669	165.932	549.737	424.913	165.546
543	1.08400	312.694	432.504	165.321	563.830	437.400	161.584	296.854	445.869	166.013	300.649	415.805	165.608	552.146	453.641	165.905	548.978	424.831	165.558
544	1.08600	312.724	432.496	165.339	563.070	437.370	161.590	296.885	445.860	165.998	300.656	415.796	165.594	551.383	453.586	165.960	548.242	424.767	165.569
545	1.08800	312.747	432.486	165.324	562.337	437.342	161.564	296.901	445.852	166.015	300.671	415.796	165.594	550.624	453.513	166.048	547.541	424.720	165.546
546	1.09000	312.771	432.478	165.340	561.598	437.288	161.588	296.931	445.852	166.016	300.672	415.787	165.611	549.839	453.449	166.088	546.797	424.656	165.557
547	1.09200	312.802	432.460	165.343	560.826	437.222	161.630	296.962	445.852	166.016	300.695	415.788	165.611	549.063	453.392	166.112	546.040	424.599	165.551
548	1.09400	312.817	432.451	165.328	560.056	437.192	161.638	296.985	445.843	166.002	300.718	415.779	165.628	548.304	453.338	166.135	545.289	424.518	165.563
549	1.09600	312.856	432.443	165.345	559.324	437.163	161.612	297.054	445.851	165.986	300.726	415.780	165.628	547.593	453.285	166.156	544.559	424.461	165.526
550	1.09800	312.871	432.425	165.347	558.604	437.136	161.617	297.077	445.843	166.003	300.741	415.770	165.614	546.820	453.228	166.149	543.842	424.396	165.505
551	1.10000	312.894	432.416	165.332	557.845	437.051	161.599	297.115	445.842	165.972	300.764	415.762	165.631	546.031	453.151	166.145	543.100	424.340	165.500
552	1.10200	312.917	432.407	165.318	557.064	436.996	161.655	297.146	445.842	165.972	300.779	415.753	165.616	545.227	453.094	166.138	542.346	424.294	165.540
553	1.10400	312.947	432.389	165.320	556.312	436.957	161.647	297.184	445.833	165.958	300.803	415.753	165.617	544.495	453.065	166.048	541.603	424.230	165.551
554	1.10600	312.962	432.380	165.306	555.595	436.929	161.621	297.222	445.833	165.959	300.811	415.744	165.603	543.766	453.028	166.006	540.900	424.185	165.558
555	1.10800	312.985	432.381	165.307	554.866	436.882	161.630	297.268	445.833	165.959	300.850	415.736	165.621	542.984	452.961	166.016	540.164	424.138	165.568
556	1.11000	313.008	432.371	165.292	554.092	436.827	161.686	297.299	445.833	165.960	300.857	415.736	165.620	542.188	452.903	166.010	539.394	424.101	165.623
557	1.11200	313.038	432.363	165.278	553.302	436.769	161.680	297.338	445.833	165.960	300.881	415.736	165.621	541.444	452.873	165.953	538.649	424.046	165.649
558	1.11400	313.069	432.353	165.264	552.569	436.740	161.655	297.376	445.816	165.963	300.896	415.727	165.607	540.707	452.817	165.913	537.954	423.983	165.658
559	1.11600	313.092	432.345	165.281	551.892	436.714	161.627	297.399	445.824	165.946	300.911	415.727	165.607	539.937	452.770	165.888	537.216	423.945	165.618
560	1.11800	313.123	432.336	165.266	551.110	436.657	161.685	297.438	445.825	165.978	300.920	415.719	165.624	539.154	452.714	165.912	536.464	423.889	165.644
561	1.12000	313.153	432.327	165.252	550.319	436.616	161.679	297.476	445.826	165.979	300.927	415.719	165.624	538.371	452.657	165.936	535.713	423.832	165.640
562	1.12200	313.184	432.318	165.238	549.586	436.580	161.668	297.507	445.817	165.965	300.942	415.710	165.609	537.607	452.601	165.928	534.996	423.777	165.633
563	1.12400	313.215	432.300	165.240	548.862	436.553	161.641	297.537	445.817	165.966	300.959	415.718	165.594	536.868	452.555	165.903	534.267	423.721	165.595
564	1.12600	313.230	432.291	165.226	548.101	436.523	161.648	297.561	445.809	165.983	300.957	415.710	165.610	536.120	452.510	165.908	533.511	423.656	165.574
565	1.12800	313.261	432.283	165.243	547.341	436.475	161.657	297.599	445.809	165.983	300.979	415.709	165.610	535.342	452.437	165.964	532.763	423.590	165.554
566	1.13000	313.291	432.264	165.214	546.588	436.410	161.668	297.637	445.809	165.984	300.981	415.710	165.610	534.565	452.372	166.005	532.038	423.535	165.548
567	1.13200	313.322	432.256	165.231	545.852	436.399	161.607	297.668	445.809	165.984	301.005	415.701	165.597	533.799	452.324	166.013	531.312	423.461	165.544
568	1.13400	313.345	432.238	165.232	545.121	436.378	161.565	297.707	445.809	165.985	301.027	415.692	165.613	533.034	452.277	166.020	530.573	423.414	165.521
569	1.13600	313.368	432.229	165.218	544.340	436.305	161.623	297.738	445.809	165.985	301.025	415.692	165.613	532.293	452.214	166.027	529.820	423.351	165.562
570	1.13800	313.399	432.212	165.251	543.575	436.256	161.666	297.776	445.802	166.003	301.033	415.683	165.598	531.549	452.169	166.064	529.085	423.287	165.573
571	1.14000	313.422	432.203	165.237	542.847	436.245	161.606	297.799	445.801	166.003	301.057	415.693	165.614	530.767	452.103	166.074	528.349	423.233	165.598
572	1.14200	313.453	432.195	165.254	542.107	436.218	161.578	297.837	445.802	166.004	301.066	415.693	165.614	529.963	452.054	166.083	527.636	423.188	165.638
573	1.14400	313.476	432.177	165.256	541.342	436.145	161.637	297.860	445.793	165.990	301.081	415.693	165.614	529.207	452.016	166.072	526.884	423.133	165.663
574	1.14600	313.499	432.160	165.258	540.571	436.086	161.665	297.883	445.793	165.991	301.081	415.684	165.600	528.479	451.979	166.030	526.137	423.085	165.641
575	1.14800	313.523	432.169	165.273	539.837	436.049	161.655	297.913	445.793	165.991	301.105	415.693	165.615	527.727	451.906	166.056	525.396	423.029	165.634
576	1.15000	313.553	432.142	165.261	539.102	436.022	161.660	297.951	445.802	165.976	301.113	415.684	165.601	526.915	451.840	166.065	524.684	422.975	165.659
577	1.15200	313.584	432.134	165.278	538.361	435.974	161.637	297.990	445.794	165.993	301.135	415.684	165.601	526.144	451.800	166.057	523.943	422.937	165.652
578	1.15400	313.600	432.126	165.294	537.582	435.909	161.679	298.013	445.794	165.993	301.151	415.684	165.601	525.406	451.754	166.031	523.188	422.889	165.629
579	1.15600	313.637	432.109	165.298	536.827	435.845	161.721	298.036	445.785	165.979	301.151	415.684	165.601	524.636	451.707	166.006	522.447	422.833	165.624
580	1.15800	313.660	432.100	165.283	536.081	435.831	161.663	298.098	445.802	165.977	301.174	415.684	165.602	523.865	451.651	165.998	521.717	422.776	165.586
581	1.16000	313.676	432.091	165.300	535.358	435.804	161.636	298.136	445.801	165.946	301.189	415.675	165.588	523.092	451.586	166.007	520.978	422.722	165.579
582	1.16200	313.699	432.082	165.286	534.628	435.732	161.662	298.174	445.801	165.946	301.205	415.675	165.588	522.328	451.529	166.000	520.236	422.665	165.574
583	1.16400	313.714	432.083	165.286	533.810	435.666	161.705	298.205	445.801	165.947	301.206	415.676	165.588	521.560	451.491	165.958	519.496	422.617	165.552
584	1.16600	313.729	432.065	165.288	533.062	435.653	161.678	298.244	445.801	165.947	301.228	415.666	165.574	520.812	451.462	165.963	518.762	422.563	165.576
585	1.16800	313.752	432.056	165.274	532.363	435.634	161.635	298.282	445.801	165.947	301.251	415.658	165.591	520.052	451.398	166.003	518.025	422.500	165.618
586	1.17000	313.767	432.047	165.260	531.638	435.580	161.691	298.313	445.792	165.933	301.266	415.649	165.576	519.271	451.332	166.013	517.280	422.447	165.674
587	1.17200	313.783	432.039	165.277	530.828	435.532	161.732	298.351	445.801	165.949	301.267	415.658	165.592	518.516	451.294	166.003	516.549	422.393	165.731
588	1.17400	313.805	432.030	165.263	530.055	435.476	161.725	298.390	445.793	165.965	301.289	415.649	165.577	517.747	451.248	165.977	515.831	422.336	165.726
589	1.17600	313.828	432.021	165.249	529.339	435.465	161.696	298.428	445.802	165.950	301.304	415.657	165.561	516.990	451.201	165.985	515.073	422.282	165.750
590	1.17800	313.859	432.021	165.249	528.631	435.444	161.656	298.459	445.802	165.950	301.321	415.649	165.578	516.241	451.136	165.994	514.338	422.210	165.776
591	1.18000	313.889	432.003	165.251	527.864	435.396	161.664	298.497	445.802	165.951	301.344	415.649	165.578	515.484	451.089	166.000	513.606	422.155	165.770
592	1.18200	313.904	431.994	165.237	527.092	435.341	161.721	298.536	445.794	165.969	301.380	415.649	165.578	514.695	451.033	166.024	512.860	422.115	165.732
593	1.18400	313.927	431.986	165.254	526.337	435.302	161.681	298.575	445.804	165.985	301.421	415.641	165.596	513.908	450.976	166.017	512.145	422.058	165.696
594	1.18600	313.974	431.986	165.254	525.633	435.298	161.605	298.605	445.786	165.987	301.457	415.650	165.610	513.193	450.930	165.992	511.420	421.995	165.705
595	1.18800	313.997	431.968	165.256	524.889	435.261	161.627	298.636	445.804	165.986	301.472	415.641	165.596	512.448	450.858	166.048	510.659	421.928	165.654
596	1.19000	314.044	431.959	165.241	524.100	435.196	161.702	298.682	445.795	165.971	301.488	415.641	165.596	511.656	450.801	166.104	509.913	421.888	165.615
597	1.19200	314.098	431.951	165.259	523.357	435.156	161.696	298.721	445.796	166.004	301.504	415.650	165.611	510.876	450.753	166.112	509.190	421.841	165.592
