NO_OF_FRAMES	1139
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 19:34:17.490	955791.10098720
DATA_INCLUDED	3D
TITLE	Bevaring av rörelsemängdsmoment i inelastisk stöt 27.7 g vs 34.3 g
MARKER_NAMES	h34_3g	hx	hy	v27_7g	vy	vx
COLLISION_TIME	0.76
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	h34_3g X	h34_3g Y	h34_3g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	v27_7g X	v27_7g Y	v27_7g Z	vy X	vy Y	vy Z	vx X	vx Y	vx Z	
5376	10.75000	466.434	546.980	169.392	466.793	531.738	169.535	482.490	546.809	169.580	415.280	381.888	164.789	435.069	375.023	164.985	406.963	363.470	164.885
5377	10.75200	466.221	546.732	169.476	466.929	531.596	169.570	482.215	547.091	169.455	415.126	382.072	164.775	434.776	374.888	164.956	406.508	363.787	164.919
5378	10.75400	465.996	546.553	169.503	467.250	531.475	169.574	482.028	547.326	169.504	414.959	382.281	164.740	434.499	374.763	164.940	406.049	364.122	164.946
5379	10.75600	465.851	546.438	169.484	467.369	531.316	169.609	481.884	547.518	169.598	414.807	382.483	164.722	434.224	374.638	164.921	405.581	364.499	164.922
5380	10.75800	465.668	546.340	169.465	467.500	531.166	169.597	481.613	547.728	169.629	414.629	382.686	164.737	433.922	374.522	164.921	405.090	364.848	164.887
5381	10.76000	465.454	546.181	169.428	467.602	531.016	169.584	481.304	547.947	169.549	414.476	382.872	164.753	433.622	374.388	164.920	404.661	365.175	164.932
5382	10.76200	465.202	545.977	169.406	467.764	530.919	169.573	481.086	548.194	169.487	414.330	383.057	164.769	433.313	374.247	164.938	404.208	365.553	164.939
5383	10.76400	464.972	545.791	169.386	467.958	530.833	169.543	480.879	548.406	169.486	414.169	383.241	164.755	433.020	374.123	164.952	403.748	365.937	164.898
5384	10.76600	464.764	545.603	169.398	468.119	530.746	169.545	480.538	548.623	169.532	414.009	383.435	164.753	432.671	373.999	164.967	403.296	366.290	164.924
5385	10.76800	464.575	545.425	169.456	468.310	530.659	169.547	480.292	548.841	169.548	413.826	383.652	164.702	432.374	373.882	164.932	402.849	366.660	164.950
5386	10.77000	464.423	545.292	169.436	468.485	530.598	169.567	479.981	549.068	169.486	413.681	383.864	164.699	432.055	373.750	164.964	402.405	367.037	164.927
5387	10.77200	464.170	545.142	169.413	468.655	530.554	169.555	479.663	549.280	169.421	413.543	384.040	164.702	431.734	373.633	164.929	401.976	367.423	164.917
5388	10.77400	463.956	544.939	169.392	468.808	530.511	169.572	479.387	549.473	169.419	413.381	384.217	164.735	431.379	373.534	164.924	401.563	367.817	164.891
5389	10.77600	463.727	544.762	169.355	468.900	530.468	169.558	479.087	549.691	169.435	413.205	384.393	164.737	431.070	373.419	164.953	401.079	368.203	164.883
5390	10.77800	463.571	544.593	169.397	469.038	530.398	169.559	478.705	549.910	169.417	413.029	384.603	164.703	430.718	373.312	164.931	400.673	368.591	164.904
5391	10.78000	463.394	544.450	169.395	469.168	530.372	169.577	478.396	550.120	169.447	412.885	384.805	164.686	430.348	373.221	164.909	400.245	369.002	164.875
5392	10.78200	463.171	544.290	169.390	469.307	530.364	169.564	478.048	550.284	169.492	412.738	384.990	164.703	430.017	373.114	164.919	399.823	369.406	164.865
5393	10.78400	462.910	544.115	169.380	469.437	530.347	169.566	477.650	550.486	169.473	412.570	385.201	164.699	429.671	373.025	164.927	399.433	369.813	164.915
5394	10.78600	462.686	543.920	169.406	469.559	530.357	169.582	477.338	550.677	169.442	412.426	385.385	164.684	429.285	372.944	164.919	399.012	370.233	164.871
5395	10.78800	462.485	543.768	169.418	469.683	530.366	169.569	476.934	550.897	169.391	412.264	385.571	164.701	428.930	372.847	164.944	398.598	370.665	164.902
5396	10.79000	462.317	543.635	169.399	469.797	530.375	169.587	476.544	551.099	169.373	412.096	385.782	164.698	428.563	372.749	164.935	398.214	371.072	164.955
5397	10.79200	462.133	543.466	169.380	469.889	530.394	169.588	476.174	551.272	169.402	411.942	385.968	164.715	428.185	372.693	164.908	397.792	371.536	164.919
5398	10.79400	461.908	543.315	169.420	470.019	530.440	169.602	475.735	551.446	169.429	411.782	386.187	164.696	427.776	372.605	164.946	397.418	371.959	164.938
5399	10.79600	461.685	543.139	169.413	470.115	530.485	169.556	475.353	551.620	169.396	411.630	386.379	164.664	427.453	372.526	164.967	397.018	372.382	164.958
5400	10.79800	461.477	542.988	169.425	470.208	530.548	169.542	474.916	551.795	169.392	411.469	386.547	164.683	427.038	372.453	164.940	396.622	372.846	164.920
5401	10.80000	461.275	542.827	169.453	470.285	530.602	169.542	474.472	551.978	169.373	411.309	386.758	164.680	426.629	372.398	164.943	396.285	373.270	164.941
5402	10.80200	461.068	542.650	169.447	470.377	530.655	169.542	474.082	552.162	169.355	411.156	386.961	164.694	426.238	372.335	164.930	395.870	373.727	164.956
5403	10.80400	460.869	542.519	169.424	470.431	530.727	169.542	473.581	552.291	169.396	410.994	387.164	164.710	425.842	372.266	164.998	395.505	374.200	164.903
