NO_OF_FRAMES	994
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 18:21:38.805	951432.43934970
DATA_INCLUDED	3D
TITLE	Bevaring av energi i elastisk stöt 34.0 g vs (fjäderpuck) 31.6 g
MARKER_NAMES	v34_0g	vx	vy	h31_6g	hx	hy
COLLISION_TIME	0.91
TRAJECTORY_TYPES	Measured	Mixed	Mixed	Measured	Measured	Mixed
Frame	Time	v34_0g X	v34_0g Y	v34_0g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	h31_6g X	h31_6g Y	h31_6g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	
12726	25.45000	349.691	200.064	169.463	347.944	215.459	169.280	333.846	199.519	169.551	556.220	538.096	165.457	549.945	557.615	165.563	537.120	530.169	165.388
12727	25.45200	349.712	200.411	169.525	347.959	215.807	169.430	333.898	199.866	169.528	555.832	537.828	165.389	549.500	557.231	165.626	536.724	529.797	165.414
12728	25.45400	349.734	200.711	169.468	347.971	216.122	169.425	333.930	200.217	169.540	555.422	537.466	165.395	549.103	556.903	165.626	536.340	529.494	165.379
12729	25.45600	349.753	201.085	169.454	347.988	216.460	169.313	333.966	200.511	169.505	555.001	537.126	165.420	548.750	556.655	165.583	535.958	529.200	165.328
12730	25.45800	349.769	201.420	169.472	348.024	216.859	169.363	334.001	200.855	169.535	554.652	536.849	165.430	548.365	556.300	165.631	535.551	528.863	165.385
12731	25.46000	349.768	201.730	169.429	348.024	217.126	169.407	334.060	201.213	169.526	554.277	536.532	165.390	547.858	555.958	165.650	535.182	528.551	165.366
12732	25.46200	349.827	202.098	169.518	348.035	217.451	169.414	334.091	201.530	169.466	553.825	536.174	165.416	547.564	555.668	165.622	534.783	528.249	165.331
12733	25.46400	349.854	202.425	169.471	348.059	217.860	169.396	334.121	201.851	169.521	553.467	535.854	165.441	547.223	555.384	165.609	534.394	527.929	165.357
12734	25.46600	349.870	202.746	169.444	348.080	218.165	169.295	334.142	202.192	169.520	553.084	535.603	165.404	546.742	555.026	165.659	534.020	527.609	165.384
12735	25.46800	349.908	203.138	169.507	348.080	218.472	169.392	334.206	202.512	169.491	552.692	535.242	165.380	546.365	554.698	165.630	533.620	527.281	165.363
12736	25.47000	349.976	203.431	169.473	348.129	218.848	169.467	334.246	202.880	169.497	552.283	534.902	165.437	546.022	554.441	165.572	533.223	526.977	165.392
12737	25.47200	350.001	203.779	169.452	348.184	219.166	169.329	334.269	203.188	169.507	551.916	534.636	165.400	545.632	554.102	165.623	532.859	526.684	165.403
12738	25.47400	350.063	204.171	169.517	348.212	219.541	169.320	334.290	203.495	169.518	551.564	534.354	165.361	545.166	553.760	165.644	532.448	526.365	165.336
12739	25.47600	350.101	204.465	169.484	348.258	219.859	169.432	334.375	203.864	169.525	551.114	533.969	165.372	544.815	553.463	165.597	532.072	526.017	165.381
12740	25.47800	350.192	204.827	169.511	348.299	220.163	169.413	334.401	204.170	169.451	550.748	533.649	165.397	544.516	553.171	165.600	531.683	525.716	165.408
12741	25.48000	350.232	205.195	169.517	348.317	220.556	169.401	334.401	204.504	169.469	550.388	533.398	165.362	544.036	552.836	165.639	531.311	525.431	165.342
12742	25.48200	350.256	205.491	169.431	348.360	220.909	169.336	334.415	204.842	169.519	549.969	533.052	165.370	543.646	552.499	165.656	530.914	525.075	165.371
12743	25.48400	350.310	205.859	169.519	348.376	221.182	169.362	334.476	205.159	169.460	549.571	532.688	165.411	543.304	552.234	165.584	530.518	524.763	165.383
12744	25.48600	350.340	206.197	169.486	348.448	221.578	169.465	334.486	205.497	169.426	549.195	532.420	165.376	542.916	551.896	165.664	530.135	524.478	165.349
12745	25.48800	350.350	206.514	169.427	348.473	221.901	169.362	334.518	205.855	169.503	548.840	532.137	165.369	542.463	551.555	165.685	529.729	524.151	165.391
12746	25.49000	350.397	206.905	169.491	348.502	222.243	169.283	334.539	206.132	169.474	548.379	531.753	165.411	542.101	551.264	165.625	529.347	523.813	165.420
12747	25.49200	350.429	207.199	169.456	348.556	222.602	169.449	334.577	206.483	169.486	548.018	531.442	165.390	541.762	550.957	165.627	528.956	523.527	165.387
12748	25.49400	350.465	207.530	169.442	348.582	222.893	169.388	334.619	206.830	169.466	547.686	531.177	165.385	541.323	550.638	165.669	528.585	523.225	165.384
