NO_OF_FRAMES	670
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 18:16:52.217	951145.85218580
DATA_INCLUDED	3D
TITLE	Bevaring av energi i elastisk stöt 14.6g vs (fjäderpuck) 31.6g
MARKER_NAMES	v14_6g	vx	vy	h31_6g	hx	hy
COLLISION_TIME	0
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	v14_6g X	v14_6g Y	v14_6g Z	vx X	vx Y	vx Z	vy X	vy Y	vy Z	h31_6g X	h31_6g Y	h31_6g Z	hx X	hx Y	hx Z	hy X	hy Y	hy Z	
1786	3.57000	509.974	370.545	165.471	501.436	391.071	165.987	487.996	362.287	165.422	518.968	516.598	165.333	499.647	524.365	165.874	512.451	497.002	165.363
1787	3.57200	509.631	370.986	165.455	501.172	391.510	165.953	487.620	362.703	165.453	518.467	516.286	165.410	499.173	524.019	165.821	512.032	496.679	165.408
1788	3.57400	509.241	371.441	165.404	500.754	391.936	166.009	487.213	363.248	165.307	518.013	515.958	165.391	498.680	523.680	165.912	511.684	496.333	165.431
1789	3.57600	508.843	371.832	165.493	500.442	392.414	165.889	486.844	363.634	165.439	517.529	515.655	165.358	498.198	523.370	165.859	511.129	496.082	165.339
1790	3.57800	508.490	372.269	165.414	500.119	392.838	165.918	486.457	364.132	165.362	517.086	515.415	165.308	497.705	523.023	165.841	510.632	495.775	165.379
1791	3.58000	508.150	372.727	165.397	499.790	393.273	165.892	486.068	364.631	165.320	516.584	515.085	165.385	497.218	522.694	165.851	510.295	495.409	165.442
1792	3.58200	507.723	373.099	165.456	499.485	393.752	165.840	485.677	365.002	165.482	516.146	514.757	165.368	496.720	522.355	165.910	509.877	495.115	165.401
1793	3.58400	507.392	373.563	165.424	499.082	394.160	165.901	485.334	365.568	165.366	515.622	514.462	165.350	496.257	522.055	165.811	509.324	494.826	165.344
1794	3.58600	507.010	374.005	165.405	498.782	394.595	165.942	484.881	365.989	165.350	515.177	514.196	165.316	495.759	521.690	165.855	508.875	494.515	165.396
1795	3.58800	506.607	374.386	165.481	498.460	395.077	165.886	484.548	366.413	165.541	514.671	513.866	165.362	495.249	521.343	165.866	508.563	494.156	165.447
1796	3.59000	506.261	374.850	165.450	498.036	395.474	165.935	484.175	366.923	165.337	514.231	513.547	165.360	494.771	521.057	165.863	508.053	493.886	165.327
1797	3.59200	505.865	375.274	165.401	497.790	395.925	165.945	483.724	367.369	165.476	513.723	513.261	165.328	494.289	520.713	165.811	507.546	493.605	165.353
1798	3.59400	505.498	375.665	165.526	497.446	396.381	165.908	483.344	367.806	165.428	513.261	512.995	165.325	493.790	520.365	165.887	507.124	493.264	165.399
1799	3.59600	505.115	376.119	165.448	497.013	396.796	165.987	482.939	368.340	165.347	512.771	512.657	165.356	493.287	520.036	165.899	506.798	492.928	165.406
1800	3.59800	504.775	376.543	165.434	496.754	397.247	165.931	482.595	368.726	165.514	512.309	512.346	165.339	492.820	519.725	165.849	506.234	492.651	165.330
1801	3.60000	504.384	376.942	165.540	496.394	397.694	165.913	482.188	369.238	165.375	511.824	512.067	165.324	492.342	519.387	165.845	505.703	492.360	165.405
1802	3.60200	503.980	377.403	165.414	496.010	398.115	165.947	481.810	369.731	165.382	511.360	511.793	165.337	491.844	519.048	165.906	505.396	492.004	165.452
1803	3.60400	503.676	377.837	165.449	495.757	398.583	165.891	481.432	370.089	165.472	510.888	511.454	165.337	491.377	518.755	165.855	504.977	491.709	165.412
1804	3.60600	503.265	378.227	165.507	495.356	399.014	165.905	481.069	370.663	165.341	510.410	511.152	165.336	490.899	518.399	165.853	504.491	491.427	165.408
1805	3.60800	502.889	378.704	165.415	494.989	399.435	165.907	480.667	371.070	165.395	509.916	510.875	165.321	490.394	518.052	165.898	503.953	491.135	165.456
1806	3.61000	502.526	379.121	165.452	494.741	399.911	165.868	480.294	371.540	165.452	509.460	510.582	165.335	489.908	517.750	165.895	503.687	490.768	165.493
1807	3.61200	502.162	379.512	165.509	494.329	400.317	165.901	479.918	372.050	165.286	509.010	510.253	165.351	489.466	517.439	165.815	503.197	490.490	165.389
1808	3.61400	501.797	379.999	165.431	494.003	400.772	165.902	479.495	372.440	165.479	508.526	509.951	165.319	488.947	517.065	165.844	502.640	490.190	165.386
1809	3.61600	501.403	380.390	165.456	493.723	401.225	165.911	479.156	372.935	165.381	508.056	509.691	165.304	488.480	516.745	165.905	502.237	489.866	165.403
1810	3.61800	501.070	380.799	165.545	493.332	401.624	165.993	478.757	373.418	165.342	507.560	509.371	165.335	487.989	516.425	165.871	501.918	489.505	165.395
1811	3.62000	500.683	381.259	165.421	493.003	402.089	166.008	478.365	373.805	165.508	507.134	509.043	165.350	487.520	516.087	165.838	501.425	489.236	165.338
1812	3.62200	500.304	381.650	165.480	492.730	402.522	165.991	477.980	374.341	165.356	506.634	508.740	165.319	487.016	515.741	165.883	500.811	488.945	165.348
1813	3.62400	499.996	382.066	165.554	492.379	402.925	166.134	477.618	374.786	165.434	506.134	508.481	165.302	486.551	515.438	165.913	500.548	488.594	165.386
1814	3.62600	499.575	382.538	165.441	492.045	403.388	166.053	477.224	375.180	165.551	505.676	508.161	165.334	486.047	515.092	165.832	500.150	488.287	165.341
1815	3.62800	499.213	382.936	165.519	491.677	403.853	166.000	476.854	375.734	165.363	505.236	507.842	165.334	485.589	514.763	165.878	499.614	488.015	165.352
1816	3.63000	498.844	383.344	165.543	491.363	404.252	166.086	476.455	376.146	165.478	504.727	507.547	165.320	485.085	514.417	165.923	499.081	487.720	165.373
1817	3.63200	498.478	383.823	165.416	491.067	404.732	165.938	476.114	376.638	165.491	504.258	507.298	165.287	484.626	514.150	165.858	498.797	487.361	165.396
1818	3.63400	498.116	384.220	165.495	490.683	405.181	165.953	475.732	377.118	165.358	503.804	506.952	165.367	484.111	513.768	165.842	498.340	487.087	165.351
1819	3.63600	497.721	384.636	165.502	490.341	405.588	165.989	475.311	377.530	165.540	503.361	506.660	165.318	483.641	513.429	165.936	497.754	486.795	165.395
1820	3.63800	497.395	385.118	165.440	490.057	406.079	165.887	474.967	378.037	165.317	502.835	506.371	165.322	483.151	513.119	165.886	497.349	486.486	165.417
1821	3.64000	496.954	385.490	165.504	489.637	406.482	165.928	474.553	378.516	165.356	502.363	506.079	165.337	482.683	512.807	165.839	497.032	486.135	165.423
1822	3.64200	496.580	385.929	165.497	489.363	406.934	165.941	474.179	378.917	165.462	501.910	505.741	165.402	482.188	512.451	165.870	496.586	485.849	165.369
1823	3.64400	496.295	386.387	165.486	489.019	407.400	165.889	473.778	379.455	165.309	501.460	505.458	165.338	481.712	512.140	165.948	495.980	485.568	165.395
1824	3.64600	495.830	386.760	165.547	488.615	407.804	165.963	473.423	379.875	165.442	500.918	505.186	165.343	481.207	511.820	165.883	495.641	485.224	165.419
1825	3.64800	495.495	387.225	165.556	488.376	408.256	165.977	473.036	380.322	165.415	500.471	504.887	165.340	480.730	511.456	165.868	495.260	484.908	165.359
1826	3.65000	495.155	387.657	165.496	488.009	408.697	165.976	472.641	380.867	165.387	500.016	504.539	165.422	480.241	511.127	165.914	494.753	484.620	165.370
1827	3.65200	494.753	388.056	165.608	487.628	409.110	166.066	472.268	381.225	165.513	499.545	504.256	165.327	479.756	510.832	165.899	494.221	484.349	165.380
1828	3.65400	494.413	388.483	165.558	487.360	409.561	166.048	471.887	381.761	165.506	499.010	503.976	165.347	479.273	510.486	165.852	493.884	483.988	165.405
1829	3.65600	494.048	388.934	165.495	487.016	409.995	166.064	471.554	382.227	165.474	498.576	503.676	165.378	478.800	510.123	165.898	493.520	483.689	165.346
1830	3.65800	493.670	389.315	165.610	486.626	410.406	166.124	471.111	382.614	165.642	498.103	503.321	165.412	478.304	509.803	165.929	492.902	483.401	165.386
1831	3.66000	493.261	389.761	165.522	486.358	410.864	166.026	470.760	383.149	165.465	497.653	503.063	165.333	477.832	509.500	165.836	492.501	483.097	165.430
1832	3.66200	492.913	390.219	165.512	486.012	411.306	166.059	470.344	383.575	165.483	497.105	502.776	165.336	477.335	509.136	165.883	492.159	482.739	165.355
1833	3.66400	492.534	390.574	165.580	485.617	411.717	166.020	469.984	384.026	165.552	496.678	502.441	165.368	476.854	508.790	165.930	491.721	482.444	165.348
1834	3.66600	492.144	391.054	165.488	485.306	412.192	165.921	469.595	384.519	165.362	496.224	502.130	165.354	476.365	508.487	165.867	491.128	482.174	165.357
1835	3.66800	491.799	391.486	165.500	485.003	412.589	165.980	469.207	384.949	165.508	495.747	501.845	165.324	475.882	508.141	165.821	490.738	481.826	165.386
1836	3.67000	491.398	391.860	165.562	484.633	413.044	165.887	468.824	385.443	165.352	495.215	501.560	165.325	475.415	507.804	165.884	490.370	481.512	165.325
1837	3.67200	491.062	392.349	165.490	484.298	413.511	165.870	468.418	385.928	165.350	494.787	501.240	165.360	474.907	507.475	165.868	489.866	481.218	165.349
1838	3.67400	490.679	392.753	165.489	483.938	413.883	165.946	468.093	386.326	165.395	494.334	500.921	165.330	474.443	507.173	165.775	489.393	480.930	165.393
1839	3.67600	490.303	393.154	165.565	483.658	414.375	165.880	467.674	386.858	165.295	493.858	500.653	165.302	473.945	506.782	165.839	488.978	480.574	165.374
1840	3.67800	489.983	393.615	165.449	483.305	414.797	165.888	467.304	387.261	165.431	493.347	500.360	165.318	473.487	506.471	165.887	488.646	480.276	165.316
1841	3.68000	489.563	394.013	165.462	482.963	415.187	165.994	466.944	387.726	165.404	492.919	500.030	165.370	472.990	506.177	165.810	488.084	480.009	165.353
1842	3.68200	489.209	394.420	165.560	482.692	415.690	165.941	466.556	388.244	165.370	492.452	499.738	165.323	472.522	505.840	165.780	487.652	479.702	165.401
1843	3.68400	488.877	394.884	165.439	482.318	416.112	165.949	466.190	388.630	165.509	491.965	499.477	165.313	472.039	505.458	165.860	487.208	479.357	165.331
1844	3.68600	488.477	395.300	165.516	482.001	416.519	166.089	465.842	389.145	165.447	491.477	499.159	165.344	471.577	505.182	165.845	486.862	479.068	165.320
1845	3.68800	488.127	395.697	165.568	481.708	416.978	165.959	465.419	389.611	165.419	491.040	498.821	165.412	471.086	504.835	165.802	486.356	478.808	165.344
1846	3.69000	487.792	396.153	165.464	481.315	417.416	166.001	465.072	390.032	165.587	490.584	498.556	165.317	470.614	504.498	165.833	485.878	478.448	165.396
1847	3.69200	487.394	396.578	165.559	481.006	417.847	166.026	464.694	390.542	165.398	490.042	498.294	165.338	470.091	504.160	165.930	485.492	478.141	165.320
1848	3.69400	487.009	396.982	165.560	480.691	418.316	165.943	464.289	390.996	165.498	489.600	497.976	165.371	469.627	503.884	165.821	485.047	477.850	165.343
1849	3.69600	486.667	397.459	165.516	480.320	418.744	166.006	463.956	391.452	165.460	489.141	497.629	165.423	469.139	503.511	165.856	484.629	477.580	165.419
1850	3.69800	486.288	397.837	165.571	479.985	419.168	165.947	463.520	391.969	165.394	488.677	497.380	165.330	468.681	503.174	165.919	484.103	477.214	165.418
1851	3.70000	485.875	398.276	165.536	479.689	419.628	165.948	463.133	392.352	165.505	488.112	497.110	165.334	468.158	502.871	165.889	483.757	476.923	165.345
1852	3.70200	485.577	398.734	165.498	479.262	420.030	165.997	462.771	392.866	165.380	487.692	496.775	165.399	467.690	502.542	165.846	483.270	476.650	165.398
1853	3.70400	485.150	399.106	165.566	478.951	420.498	165.948	462.375	393.342	165.399	487.212	496.429	165.420	467.192	502.179	165.926	482.793	476.344	165.445
1854	3.70600	484.777	399.571	165.546	478.708	420.924	166.021	462.006	393.717	165.495	486.785	496.188	165.344	466.731	501.877	165.896	482.321	475.989	165.394
