NO_OF_FRAMES	5700
NO_OF_CAMERAS	2
NO_OF_MARKERS	15
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-21, 21:15:25.973	961859.55993530
DATA_INCLUDED	3D
MARKER_NAMES	a396_1g	ax	ay	b31_6g	bx	by	c27_7g	cx	cy	d14_6g	dx	dy	e5_9g	ex	ey
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Measured	Measured	Measured	Mixed	Mixed	Mixed	Measured	Mixed	Measured	Measured	Measured	Measured
Frame	Time	a396_1g X	a396_1g Y	a396_1g Z	ax X	ax Y	ax Z	ay X	ay Y	ay Z	b31_6g X	b31_6g Y	b31_6g Z	bx X	bx Y	bx Z	by X	by Y	by Z	c27_7g X	c27_7g Y	c27_7g Z	cx X	cx Y	cx Z	cy X	cy Y	cy Z	d14_6g X	d14_6g Y	d14_6g Z	dx X	dx Y	dx Z	dy X	dy Y	dy Z	e5_9g X	e5_9g Y	e5_9g Z	ex X	ex Y	ex Z	ey X	ey Y	ey Z	
32527	65.05200	326.495	580.139	172.569	314.555	549.074	170.935	358.152	566.412	170.728	380.483	727.988	166.150	386.944	747.231	165.991	360.223	732.766	165.629	537.659	590.124	165.019	542.714	609.576	165.084	516.721	593.348	164.892	306.154	446.652	166.083	324.065	433.455	166.385	320.640	465.063	166.050	142.713	500.565	162.468	158.911	512.075	166.047	130.139	515.497	166.089
32528	65.05400	326.465	580.209	172.602	316.244	548.561	170.937	358.856	568.228	170.743	380.019	728.581	166.137	386.547	747.847	166.012	359.798	733.437	165.621	538.274	590.227	165.047	543.785	609.565	165.098	517.418	593.979	164.954	305.798	446.359	166.085	323.571	432.943	166.428	320.462	464.595	166.062	141.620	500.837	162.489	157.846	512.301	166.025	129.086	515.786	166.115
32529	65.05600	326.420	580.277	172.666	317.949	548.145	170.896	359.438	570.131	170.733	379.556	729.250	166.157	386.133	748.423	165.978	359.324	734.067	165.696	538.860	590.343	165.049	544.881	609.527	165.097	518.135	594.609	164.957	305.403	446.056	166.071	323.025	432.480	166.370	320.235	464.143	166.041	140.492	501.108	162.478	156.759	512.527	166.003	128.016	516.083	166.124
32530	65.05800	326.352	580.399	172.702	319.731	547.790	170.901	359.981	572.103	170.757	379.100	729.818	166.125	385.781	749.027	166.044	358.940	734.813	165.755	539.461	590.470	165.065	545.991	609.483	165.108	518.838	595.267	164.944	305.051	445.764	166.106	322.509	432.027	166.299	320.054	463.699	166.004	139.378	501.387	162.451	155.701	512.780	165.965	126.949	516.407	166.087
32531	65.06000	326.315	580.504	172.737	321.528	547.541	170.878	360.296	574.131	170.599	378.658	730.468	166.172	385.378	749.613	165.998	358.423	735.522	165.580	540.081	590.589	165.034	547.064	609.428	165.103	519.553	595.879	164.977	304.627	445.452	166.048	321.963	431.514	166.341	319.870	463.231	165.988	138.289	501.656	162.440	154.627	513.015	165.928	125.913	516.731	166.050
32532	65.06200	326.277	580.583	172.725	323.333	547.450	170.856	360.624	576.039	170.700	378.171	731.062	166.129	384.982	750.219	166.033	358.098	736.192	165.829	540.674	590.699	165.048	548.160	609.356	165.098	520.333	596.519	164.966	304.280	445.186	166.034	321.477	431.078	166.298	319.683	462.815	165.935	137.193	501.936	162.446	153.547	513.223	165.906	124.844	517.018	166.075
32533	65.06400	326.102	580.688	172.728	325.117	547.441	170.826	360.864	577.948	170.366	377.730	731.678	166.172	384.610	750.805	165.986	357.572	736.820	165.685	541.290	590.807	165.064	549.255	609.275	165.107	521.076	597.150	164.940	303.934	444.885	166.084	320.946	430.592	166.353	319.435	462.336	165.870	136.076	502.191	162.467	152.468	513.441	165.901	123.774	517.317	166.085
32534	65.06600	326.064	580.853	172.749	326.824	547.530	170.784	360.940	579.924	170.536	377.237	732.316	166.124	384.210	751.408	166.057	357.149	737.631	165.679	541.872	590.911	165.029	550.321	609.168	165.098	521.839	597.781	164.944	303.505	444.567	166.075	320.437	430.131	166.358	319.230	461.902	165.880	134.976	502.461	162.425	151.401	513.676	165.926	122.716	517.651	166.065
32535	65.06800	326.026	581.011	172.754	328.678	547.675	170.906	360.889	581.946	170.189	376.803	732.939	166.183	383.834	751.985	166.022	356.732	738.227	165.753	542.499	591.020	165.015	551.373	609.069	165.074	522.649	598.395	164.949	303.144	444.291	166.047	319.920	429.678	166.348	319.046	461.415	165.834	133.863	502.750	162.415	150.319	513.912	165.889	121.671	517.956	166.090
32536	65.07000	326.012	581.125	172.776	330.532	547.963	170.938	360.651	584.156	170.421	376.333	733.541	166.161	383.389	752.619	166.021	356.266	738.924	165.735	543.087	591.148	164.999	552.425	608.954	165.049	523.429	599.035	164.940	302.780	444.024	166.062	319.366	429.183	166.420	318.869	460.974	165.862	132.771	503.030	162.452	149.263	514.147	165.883	120.609	518.253	166.100
32537	65.07200	326.005	581.203	172.826	332.286	548.322	170.974	360.293	586.196	170.374	375.876	734.178	166.145	383.040	753.193	166.020	355.838	739.666	165.719	543.714	591.274	164.986	553.458	608.820	165.053	524.244	599.613	164.974	302.373	443.716	166.129	318.882	428.740	166.395	318.652	460.523	165.874	131.667	503.292	162.457	148.192	514.365	165.878	119.529	518.561	166.095
32538	65.07400	325.976	581.323	172.892	334.072	548.804	170.949	359.821	588.302	170.162	375.413	734.787	166.141	382.637	753.794	166.010	355.379	740.336	165.600	544.302	591.401	164.970	554.520	608.668	165.088	525.063	600.252	164.966	302.036	443.406	166.136	318.310	428.254	166.451	318.398	460.037	165.890	130.548	503.555	162.464	147.124	514.583	165.903	118.471	518.876	166.074
32539	65.07600	325.953	581.455	172.882	335.819	549.401	170.974	359.355	590.323	170.183	374.972	735.421	166.157	382.241	754.374	166.028	354.972	740.961	165.859	544.904	591.501	164.970	555.565	608.517	165.060	525.909	600.822	164.985	301.625	443.128	166.073	317.782	427.820	166.442	318.248	459.586	165.934	129.453	503.836	162.469	146.055	514.809	165.913	117.426	519.183	166.101
32540	65.07800	325.915	581.595	172.886	337.560	550.121	170.970	358.775	592.273	170.169	374.509	736.004	166.164	381.916	754.931	166.026	354.532	741.719	165.622	545.514	591.603	164.969	556.599	608.347	165.062	526.742	601.434	164.994	301.265	442.854	166.078	317.217	427.340	166.418	318.034	459.092	165.936	128.341	504.114	162.474	144.977	515.052	165.922	116.359	519.463	166.143
32541	65.08000	325.862	581.726	172.875	339.278	550.963	170.933	358.110	594.205	170.158	374.090	736.552	166.162	381.513	755.455	166.095	354.121	742.307	165.791	546.107	591.713	164.983	557.618	608.177	165.064	527.606	601.996	164.997	300.887	442.518	166.131	316.652	426.865	166.493	317.835	458.624	165.983	127.238	504.376	162.480	143.908	515.261	165.933	115.298	519.769	166.169
32542	65.08200	325.839	581.849	172.881	340.942	551.876	170.932	357.329	596.084	170.174	373.658	737.027	166.212	381.193	755.872	166.093	353.750	742.901	165.758	546.698	591.830	165.014	558.638	608.005	165.067	528.493	602.591	165.005	300.510	442.198	166.091	316.163	426.409	166.420	317.625	458.155	165.966	126.159	504.648	162.503	142.833	515.488	165.974	114.267	520.103	166.180
32543	65.08400	325.771	581.980	172.870	342.569	552.859	170.963	356.435	597.944	170.160	373.261	737.411	166.192	380.953	756.204	166.185	353.404	743.418	165.837	547.296	591.966	164.985	559.655	607.810	165.081	529.373	603.161	164.995	300.149	441.941	166.063	315.616	425.957	166.443	317.390	457.677	165.996	125.056	504.929	162.509	141.776	515.708	166.032	113.189	520.381	166.190
32544	65.08600	325.725	582.103	172.844	344.143	553.974	170.952	355.456	599.779	170.131	372.918	737.650	166.239	380.705	756.376	166.300	353.038	743.823	165.874	547.887	592.067	165.014	560.672	607.585	165.112	530.268	603.721	165.001	299.747	441.655	166.048	315.095	425.496	166.421	317.212	457.209	165.981	123.975	505.209	162.515	140.708	515.925	166.058	112.128	520.671	166.218
32545	65.08800	325.679	582.244	172.818	345.694	555.177	170.941	354.361	601.531	170.176	372.546	737.767	166.292	380.557	756.385	166.394	352.801	744.078	165.957	548.499	592.194	165.000	561.655	607.336	165.153	531.186	604.276	164.990	299.388	441.330	166.120	314.546	425.059	166.378	316.983	456.740	165.936	122.878	505.480	162.506	139.624	516.143	166.084	111.079	520.979	166.214
32546	65.09000	325.656	582.412	172.748	347.084	556.450	170.966	353.175	603.215	170.156	372.253	737.717	166.356	380.489	756.233	166.438	352.581	744.285	165.968	549.087	592.303	164.984	562.647	607.114	165.119	532.075	604.827	164.980	298.986	441.009	166.079	314.060	424.617	166.386	316.747	456.264	165.939	121.745	505.734	162.466	138.550	516.379	166.048	110.015	521.303	166.147
32547	65.09200	325.602	582.535	172.721	348.399	557.767	170.975	351.951	604.881	170.135	371.976	737.498	166.351	380.464	755.901	166.455	352.391	744.373	165.954	549.700	592.397	165.027	563.622	606.901	165.102	532.994	605.335	165.044	298.646	440.768	166.047	313.467	424.163	166.346	316.507	455.791	165.857	120.649	505.995	162.472	137.477	516.588	166.027	108.956	521.582	166.127
32548	65.09400	325.549	582.676	172.697	349.736	559.224	170.926	350.603	606.458	170.140	371.693	737.180	166.377	380.417	755.475	166.434	352.222	744.304	165.936	550.284	592.523	164.982	564.542	606.642	165.096	533.935	605.889	164.974	298.292	440.494	166.051	312.955	423.728	166.367	316.309	455.307	165.908	119.550	506.293	162.447	136.398	516.823	166.022	107.899	521.873	166.124
32549	65.09600	325.504	582.798	172.703	350.882	560.610	170.938	349.203	607.963	170.174	371.417	736.806	166.342	380.382	754.944	166.419	352.013	744.100	165.855	550.897	592.617	165.026	565.494	606.364	165.152	534.891	606.387	165.055	297.869	440.148	166.090	312.360	423.278	166.392	316.166	454.810	165.908	118.452	506.547	162.438	135.338	517.040	165.986	106.852	522.205	166.073
32550	65.09800	325.474	582.930	172.694	352.060	562.297	170.836	347.725	609.381	170.170	371.160	736.285	166.288	380.335	754.357	166.347	351.829	743.876	165.803	551.476	592.715	165.026	566.486	606.109	165.115	535.821	606.922	165.015	297.538	439.838	166.097	311.813	422.825	166.384	315.890	454.351	165.880	117.344	506.808	162.414	134.273	517.266	165.965	105.784	522.511	166.038
32551	65.10000	325.420	583.089	172.639	353.100	563.909	171.012	346.179	610.728	170.193	370.849	735.800	166.216	380.303	753.699	166.290	351.645	743.642	165.655	552.048	592.816	165.025	567.444	605.871	165.049	536.823	607.434	165.018	297.115	439.590	166.082	311.269	422.402	166.454	315.608	453.866	165.930	116.250	507.078	162.436	133.204	517.509	165.913	104.734	522.801	166.035
32552	65.10200	325.375	583.257	172.601	354.079	565.674	170.868	344.563	611.987	170.209	370.577	735.198	166.195	380.248	753.036	166.184	351.483	743.289	165.591	552.704	592.984	164.948	568.336	605.531	165.084	537.770	607.921	165.054	296.767	439.296	166.055	310.659	421.931	166.446	315.408	453.404	165.897	115.155	507.367	162.458	132.147	517.727	165.908	103.693	523.107	166.093
32553	65.10400	325.313	583.409	172.500	354.912	567.453	170.973	342.871	613.166	170.235	370.277	734.681	166.082	380.194	752.350	166.026	351.334	742.942	165.543	553.283	593.084	164.947	569.266	605.245	165.062	538.784	608.408	165.009	296.398	438.968	166.094	310.137	421.515	166.468	315.179	452.902	165.950	114.065	507.638	162.449	131.076	517.946	165.904	102.639	523.429	166.058
